Country,ISO,Unconditional,Conditional,2020,Unconditional_b20,Conditional_b20
Afghanistan,AFG,51.7,45.5,34.3095165,0.50687055,0.32616267
Angola,AGO,27.6,-1.4,133.3095382,-0.792963051,-1.010501874
Albania,ALB,12,12,8.351837841,0.436809506,0.436809506
Andorra,AND,0.3,0.3,0.50974524,-0.411470718,-0.411470718
United Arab Emirates,ARE,185.3,185.3,248.7281723,-0.255010004,-0.255010004
Argentina,ARG,349,349,390.8392747,-0.107049822,-0.107049822
Armenia,ARM,10.6,15.1,10.08743341,0.050812389,0.496911988
Antigua and Barbuda,ATG,1.4,1.4,1.344592634,0.041207548,0.041207548
Australia,AUS,354,354,581.5382737,-0.391269645,-0.391269645
Azerbaijan,AZE,51.5,54.2,52.10250022,-0.011563749,0.040257181
Burundi,BDI,7.4,6.7,7.191219492,0.029032699,-0.068308232
Benin,BEN,35.2,35.2,27.46938372,0.281426637,0.281426637
Burkina Faso,BFA,88,77.5,53.41721442,0.647409004,0.450843157
Bangladesh,BGD,381.8,319.9,235.1039437,0.62396255,0.360674751
Bahrain,BHR,35.5,35.5,53.78997466,-0.340025716,-0.340025716
The Bahamas,BHS,6.5,4.4,2.470731379,1.630799955,0.7808492
Bosnia and Herzegovina,BIH,22.7,21.5,24.34292641,-0.067490916,-0.116786551
Belarus,BLR,76.2,70.3,86.48068735,-0.118878419,-0.187101743
Belize,BLZ,7,5.9,6.870022685,0.018919488,-0.141196431
Bolivia,BOL,87.3,87.3,131.6310958,-0.336782852,-0.336782852
Brazil,BRA,1200,1200,1477.998672,-0.188091287,-0.188091287
Barbados,BRB,1.2,0.6,3.813508998,-0.685329181,-0.84266459
Brunei,BRN,24.5,24.5,12.31608472,0.989268551,0.989268551
Bhutan,BTN,0.7,0,0.586017,0.194504596,-1
Botswana,BWA,22.7,18.6,53.96251512,-0.579337621,-0.655316288
Central African Republic,CAF,15.6,13.4,55.55788973,-0.719211797,-0.758810134
Canada,CAN,425,425,725.8765388,-0.414500983,-0.414500983
Switzerland,CHE,27.1,27.1,42.32786089,-0.359759756,-0.359759756
Chile,CHL,46.7,46.7,49.26164272,-0.052000757,-0.052000757
China,CHN,13153.4,13153.4,12107.80381,0.086357213,0.086357213
Ivory Coast,CIV,84.5,1.3,53.95111108,0.566232804,-0.975904111
Cameroon,CMR,108,80.7,130.9237877,-0.17509261,-0.383610867
Democratic Republic of the Congo,COD,1375.6,1109.6,700.3814926,0.964072458,0.584279442
Republic of Congo,COG,12,7.1,30.10082854,-0.601339877,-0.764126094
Cook Islands,COK,0.1,0,0.0781831,0.279048797,-1
Colombia,COL,169.4,169.4,271.7160102,-0.376554956,-0.376554956
Comoros,COM,-1.3,-1.8,0.567000274,-3.292767851,-4.17460164
Cape Verde,CPV,0.8,0.8,0.63083491,0.268160635,0.268160635
Costa Rica,CRI,9.1,9.1,7.081174943,0.285097469,0.285097469
Cuba,CUB,34,34,29.73566142,0.14340823,0.14340823
Djibouti,DJI,2.8,1.9,1.442308344,0.941332456,0.317332738
Dominica,DMA,0.2,0.1,0.214220772,-0.066383721,-0.533191861
Dominican Republic,DOM,47.4,37.2,39.60115249,0.196934862,-0.060633399
Algeria,DZA,288.1,241,272.6281485,0.056750749,-0.116012043
Ecuador,ECU,91.1,91.1,96.40664258,-0.055044367,-0.055044367
Egypt,EGY,435.5,344.3,316.3522288,0.376630099,0.088343842
Eritrea,ERI,13.8,11.6,6.894426347,1.001616858,0.682518518
Ethiopia,ETH,348.2,127.1,213.6060603,0.630103563,-0.404979429
European Union (27),EUU,2093.3,2093.3,2975.820534,-0.296563762,-0.296563762
Fiji,FJI,0.6,0.1,-0.810944369,-1.739878126,-1.123313021
Federated States of Micronesia,FSM,0.2,0.1,0.196765145,0.016440183,-0.491779908
Gabon,GAB,0,0,21.38233003,-1,-1
United Kingdom,GBR,261.6,261.6,408.9604095,-0.360329279,-0.360329279
Georgia,GEO,29.3,20.9,17.32256508,0.691435412,0.206518775
Ghana,GHA,87,47.6,16.89638293,4.14903103,1.817171
Guinea,GIN,33.8,32.1,41.09040797,-0.177423597,-0.218795783
Gambia,GMB,6.4,3.5,2.822658337,1.267366162,0.23996587
Guinea Bissau,GNB,16.6,13,4.231833189,2.922649892,2.071954734
Equatorial Guinea,GNQ,13.1,8.7,12.764987,0.02624468,-0.31844819
Grenada,GRD,2.4,0.1,2.373215723,0.011286069,-0.95786308
Guatemala,GTM,66.9,58.6,41.01475706,0.631120231,0.428754044
Guyana,GUY,16.6,16.6,18.71504366,-0.113013023,-0.113013023
Honduras,HND,35.1,30.4,29.3089742,0.197585414,0.037224974
