iso_alpha_3,year,policy_stock
MAR,2002,0
MAR,2003,0
MAR,2004,0
MAR,2005,0
MAR,2006,1
MAR,2007,1
MAR,2008,1
MAR,2009,3
MAR,2010,5
MAR,2011,6
MAR,2012,6
MAR,2013,6
MAR,2014,7
MAR,2015,7
MAR,2016,7
MAR,2017,7
MAR,2018,7
MAR,2019,7
MAR,2020,7
MAR,2021,7
MAR,2022,7
FRA,2002,1
FRA,2003,1
FRA,2004,2
FRA,2005,4
FRA,2006,5
FRA,2007,6
FRA,2008,8
FRA,2009,10
FRA,2010,11
FRA,2011,11
FRA,2012,11
FRA,2013,12
FRA,2014,13
FRA,2015,15
FRA,2016,18
FRA,2017,18
FRA,2018,19
FRA,2019,21
FRA,2020,26
FRA,2021,33
FRA,2022,34
DEU,2002,4
DEU,2003,4
DEU,2004,5
DEU,2005,7
DEU,2006,7
DEU,2007,8
DEU,2008,10
DEU,2009,11
DEU,2010,14
DEU,2011,15
DEU,2012,15
DEU,2013,16
DEU,2014,18
DEU,2015,20
DEU,2016,23
DEU,2017,25
DEU,2018,26
DEU,2019,27
DEU,2020,30
DEU,2021,37
DEU,2022,38
USA,2002,2
USA,2003,3
USA,2004,9
USA,2005,12
USA,2006,20
USA,2007,25
USA,2008,32
USA,2009,36
USA,2010,38
USA,2011,40
USA,2012,45
USA,2013,49
USA,2014,53
USA,2015,57
USA,2016,60
USA,2017,61
USA,2018,64
USA,2019,68
USA,2020,70
USA,2021,75
USA,2022,79
AUS,2002,1
AUS,2003,1
AUS,2004,1
AUS,2005,4
AUS,2006,5
AUS,2007,6
AUS,2008,9
AUS,2009,12
AUS,2010,16
AUS,2011,16
AUS,2012,18
AUS,2013,18
AUS,2014,20
AUS,2015,22
AUS,2016,25
AUS,2017,28
AUS,2018,31
AUS,2019,38
AUS,2020,43
AUS,2021,49
AUS,2022,55
RUS,2002,1
RUS,2003,4
RUS,2004,4
RUS,2005,4
RUS,2006,5
RUS,2007,5
RUS,2008,5
RUS,2009,7
RUS,2010,7
RUS,2011,8
RUS,2012,9
RUS,2013,11
RUS,2014,11
RUS,2015,11
RUS,2016,11
RUS,2017,11
RUS,2018,11
RUS,2019,11
RUS,2020,12
RUS,2021,13
RUS,2022,14
BRA,2002,0
BRA,2003,0
BRA,2004,0
BRA,2005,0
BRA,2006,0
BRA,2007,0
