iso_alpha_3,year,policy_flow_jur_stock_x_gov
AFG,1996,-14.082905124241062
AFG,1998,-16.024521329937553
AFG,2000,-16.717959234600336
AFG,2002,-10.35528707177167
AFG,2003,-9.881108509471094
AFG,2004,-9.870507938661676
AFG,2005,-9.564825655760446
AFG,2006,-9.02179944509078
AFG,2007,-8.979561479474913
AFG,2008,-10.598863091240197
AFG,2009,-13.603820683625635
AFG,2010,-14.943773353370815
AFG,2011,-14.318892652360258
AFG,2012,-14.470703961906805
AFG,2013,-15.024033091972017
AFG,2014,-15.027302590309933
AFG,2015,-15.676443630999369
AFG,2016,-16.340592242851216
AFG,2017,-17.256762877497177
AFG,2018,-17.01886096124116
AFG,2019,-17.129825843256317
AFG,2020,-16.943754697082344
AFG,2021,-25.129989796903345
AFG,2022,-35.89180469393551
AFG,2023,-43.29718544023768
AFG,2024,-49.38695179382431
AGO,1996,-13.918346610377341
AGO,1998,-18.822495918838964
AGO,2000,-31.700094555934818
AGO,2002,-38.66151547660326
AGO,2003,-42.47153312891605
AGO,2004,-50.00497799963277
AGO,2005,-52.33739791228569
AGO,2006,-61.81873269362229
AGO,2007,-68.3513849478146
AGO,2008,-67.01494215795714
AGO,2009,-77.18592062845883
AGO,2010,-90.20277022632744
AGO,2011,-102.84582453112805
AGO,2012,-112.67616846432476
AGO,2013,-132.97920800808384
AGO,2014,-155.04551214183618
AGO,2015,-179.91041649561276
AGO,2016,-208.83136857360293
AGO,2017,-217.96516706217417
AGO,2018,-210.52820815827087
AGO,2019,-212.87474134017097
AGO,2020,-232.00680121460945
AGO,2021,-270.7549057114599
AGO,2022,-307.9196004448722
AGO,2023,-321.425536762847
AGO,2024,-358.19972991300466
ALB,2002,-0.14459048448798445
ALB,2003,-0.16779779075806756
ALB,2004,0.3019414859642405
ALB,2005,1.3731799007180163
ALB,2006,2.151415029772666
ALB,2007,2.4944216567739668
ALB,2008,4.508136025866489
ALB,2009,5.030876194738268
ALB,2010,5.399099699933524
ALB,2011,2.0637327708525626
ALB,2012,0.49306233515874387
ALB,2013,0.3824202925171661
ALB,2014,8.17488772253843
ALB,2015,7.993797694187918
ALB,2016,8.723014316154176
ALB,2017,11.777731793193988
ALB,2018,15.128080773083536
ALB,2019,13.506055819579169
ALB,2020,11.095362726398937
ALB,2021,6.84022759883799
ALB,2022,10.106603424229645
ALB,2023,3.9496815337055833
ALB,2024,7.180155316371316
ANT,2014,0.11538321771562685
ANT,2015,0.23164420111706194
ANT,2016,0.34582617754905726
ANT,2017,0.4592004033585003
ARE,1996,-18.669525609124218
ARE,1998,-20.81864737292946
ARE,2000,-24.987603538952616
ARE,2002,-32.46661010288539
ARE,2003,-36.628134839035894
ARE,2004,-46.513314747591934
ARE,2005,-47.041369282394136
ARE,2006,-37.9518707647795
ARE,2007,-39.920048820829805
ARE,2008,-39.27448542213925
ARE,2009,-41.327578572000775
ARE,2010,-52.9719112662676
ARE,2011,-43.7362872729572
ARE,2012,-66.02187582013134
ARE,2013,-86.6730822018176
ARE,2014,-95.48719391312436
ARE,2015,-113.03568291116055
ARE,2016,-120.4810029657192
ARE,2017,-139.9672336590403
ARE,2018,-189.26572606232978
ARE,2019,-199.34516299335166
ARE,2020,-216.42362218158362
ARE,2021,-242.74069157118814
ARE,2022,-260.3278480550887
ARE,2023,-312.8950072753752
ARE,2024,-315.7598075453533
ARG,1996,37.18804381269028
ARG,1998,38.48403615769945
