iso_alpha_3,year,policy_flow_raw_stock,policy_flow_jur_stock,policy_flow_jur_nlp_stock
AFG,1971,1,0.25,0.1875
AFG,1972,2,0.5,0.375
AFG,1973,3,0.75,0.5625
AFG,1974,4,1.0,0.75
AFG,1975,5,1.25,0.9375
AFG,1976,6,1.5,1.125
AFG,1977,7,1.75,1.3125
AFG,1978,8,2.0,1.5
AFG,1979,9,2.25,1.6875
AFG,1980,10,2.5,1.875
AFG,1981,11,2.75,2.0625
AFG,1982,12,3.0,2.25
AFG,1983,13,3.25,2.4375
AFG,1984,14,3.5,2.625
AFG,1985,15,3.75,2.8125
AFG,1986,16,4.0,3.0
AFG,1987,17,4.25,3.1875
AFG,1988,18,4.5,3.375
AFG,1989,19,4.75,3.5625
AFG,1990,20,5.0,3.75
AFG,1991,21,5.25,3.9375
AFG,1992,22,5.5,4.125
AFG,1993,23,5.75,4.3125
AFG,1994,24,6.0,4.5
AFG,1995,25,6.25,4.6875
AFG,1996,26,6.5,4.875
AFG,1997,27,6.75,5.0625
AFG,1998,28,7.0,5.25
AFG,1999,29,7.25,5.4375
AFG,2000,30,7.5,5.625
AFG,2001,31,7.75,5.8125
AFG,2002,32,8.0,6.0
AFG,2003,33,8.25,6.1875
AFG,2004,34,8.5,6.375
AFG,2005,35,8.75,6.5625
AFG,2006,37,9.25,7.0
AFG,2007,39,9.75,7.4375
AFG,2008,41,10.25,7.875
AFG,2009,43,10.75,8.3125
AFG,2010,45,11.25,8.75
AFG,2011,47,11.75,9.1875
AFG,2012,49,12.25,9.625
AFG,2013,51,12.75,10.0625
AFG,2014,53,13.25,10.5
AFG,2015,55,13.75,10.9375
AFG,2016,57,14.25,11.375
AFG,2017,59,14.75,11.8125
AFG,2018,61,15.25,12.25
AFG,2019,64,16.0,12.9375
AFG,2020,67,16.75,13.625
AFG,2021,71,18.5,14.5625
AFG,2022,75,20.25,15.5
AFG,2023,79,22.0,16.4375
AFG,2024,83,23.75,17.375
AFG,2025,87,25.5,18.3125
AFG,2026,91,27.25,19.25
AFG,2027,95,29.0,20.1875
AFG,2028,99,30.75,21.125
AFG,2029,103,32.5,22.0625
AFG,2030,107,34.25,23.0
AGO,1971,1,0.25,0.1875
AGO,1972,2,0.5,0.375
AGO,1973,3,0.75,0.5625
AGO,1974,4,1.0,0.75
AGO,1975,5,1.25,0.9375
AGO,1976,6,1.5,1.125
AGO,1977,7,1.75,1.3125
AGO,1978,8,2.0,1.5
AGO,1979,9,2.25,1.6875
AGO,1980,10,2.5,1.875
AGO,1981,11,2.75,2.0625
AGO,1982,12,3.0,2.25
AGO,1983,13,3.25,2.4375
AGO,1984,14,3.5,2.625
AGO,1985,15,3.75,2.8125
AGO,1986,16,4.0,3.0
AGO,1987,17,4.25,3.1875
AGO,1988,18,4.5,3.375
AGO,1989,19,4.75,3.5625
AGO,1990,20,5.0,3.75
AGO,1991,21,5.25,3.9375
AGO,1992,22,5.5,4.125
AGO,1993,23,5.75,4.3125
AGO,1994,25,6.6,4.8
AGO,1995,27,7.45,5.2875
AGO,1996,29,8.3,5.775
AGO,1997,31,9.15,6.2625
AGO,1998,35,12.0,8.25
AGO,1999,39,14.85,10.2375
AGO,2000,45,19.7,13.225
AGO,2001,51,24.549999999999997,16.2125
AGO,2002,57,29.4,19.2
AGO,2003,63,34.25,22.1875
AGO,2004,70,40.099999999999994,25.674999999999997
AGO,2005,77,45.949999999999996,29.162499999999998
AGO,2006,84,51.8,32.65
AGO,2007,92,58.65,36.887499999999996
AGO,2008,101,66.5,41.375
AGO,2009,111,75.35,46.8625
AGO,2010,122,85.19999999999999,53.349999999999994
AGO,2011,137,99.05,61.8375
AGO,2012,153,113.89999999999999,70.575
AGO,2013,170,129.75,79.5625
AGO,2014,188,146.2,88.7
AGO,2015,210,165.9,99.3375
AGO,2016,232,185.6,109.975
AGO,2017,254,205.29999999999998,120.6125
AGO,2018,276,225.0,131.25
AGO,2019,300,245.2,142.325
AGO,2020,326,267.4,154.65
AGO,2021,354,291.59999999999997,167.475
AGO,2022,381,314.8,180.04999999999998
AGO,2023,408,338.0,192.625
AGO,2024,436,362.2,205.95
AGO,2025,464,386.4,219.27499999999998
AGO,2026,492,410.59999999999997,232.6
AGO,2027,520,434.8,245.92499999999998
AGO,2028,548,459.0,259.25
AGO,2029,576,483.2,272.575
AGO,2030,604,507.4,285.9
ALB,2002,1,1.0,0.75
ALB,2003,3,3.0,2.5
ALB,2004,5,5.0,4.25
ALB,2005,8,8.0,7.0
ALB,2006,12,11.25,10.0
ALB,2007,17,14.75,13.25
ALB,2008,23,18.5,16.75
ALB,2009,29,22.25,20.25
ALB,2010,37,27.25,25.0
ALB,2011,44,31.25,28.75
ALB,2012,52,36.25,32.75
ALB,2013,60,41.25,36.75
ALB,2014,70,48.25,41.25
ALB,2015,79,54.25,45.5
ALB,2016,88,60.25,49.75
ALB,2017,97,66.25,54.0
ALB,2018,107,73.25,59.25
ALB,2019,118,80.5,64.75
ALB,2020,129,87.75,70.25
ALB,2021,142,97.0,77.75
ALB,2022,155,106.25,85.25
ALB,2023,167,114.5,91.75
ALB,2024,179,122.75,98.25
ALB,2025,191,131.0,104.75
ALB,2026,203,139.25,111.25
ALB,2027,215,147.5,117.75
ALB,2028,227,155.75,124.25
ALB,2029,239,164.0,130.75
ALB,2030,251,172.25,137.25
AND,2019,1,0.25,0.1875
AND,2020,2,0.5,0.375
AND,2021,5,2.75,1.0625
AND,2022,7,4.0,1.5
AND,2023,9,5.25,1.9375
AND,2024,11,6.5,2.375
AND,2025,13,7.75,2.8125
AND,2026,15,9.0,3.25
AND,2027,17,10.25,3.6875
AND,2028,19,11.5,4.125
AND,2029,21,12.75,4.5625
AND,2030,23,14.0,5.0
ANT,2014,1,0.25,0.25
ANT,2015,2,0.5,0.5
ANT,2016,3,0.75,0.75
ANT,2017,4,1.0,1.0
ANT,2018,5,1.25,1.25
ANT,2019,6,1.5,1.5
ANT,2020,7,1.75,1.75
ANT,2021,8,2.0,2.0
ANT,2022,9,2.25,2.25
ANT,2023,10,2.5,2.5
ANT,2024,11,2.75,2.75
ANT,2025,12,3.0,3.0
ANT,2026,13,3.25,3.25
ANT,2027,14,3.5,3.5
ANT,2028,15,3.75,3.75
ANT,2029,16,4.0,4.0
ANT,2030,17,4.25,4.25
ARE,1976,1,0.6,0.15
ARE,1977,2,1.2,0.3
ARE,1978,4,2.4,1.05
ARE,1979,6,3.5999999999999996,1.8
ARE,1980,8,4.8,2.55
ARE,1981,10,6.0,3.3
ARE,1982,12,7.199999999999999,4.05
