iso_alpha_3,year,avg_policy_score,policy_count,dominant_topic,dominant_category,log_policy_count,policy_index,policy_index_geom_7
AFG,1971,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1972,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1973,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1974,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1975,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1976,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1977,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1978,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1979,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1980,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1981,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1982,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1983,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1984,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1985,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1986,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1987,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1988,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1989,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1990,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1991,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1992,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1993,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1994,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1995,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1996,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1997,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1998,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,1999,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,2000,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,2001,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,2002,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,2003,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,2004,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,2005,0.75,1,Energy,Solar Power,0.6931471805599453,0.5198603854199589,0.9125465128398087
AFG,2006,0.875,2,Energy,Solar Power,1.0986122886681098,0.961285752584596,1.1195170015024196
AFG,2007,0.875,2,Energy,Solar Power,1.0986122886681098,0.961285752584596,1.1195170015024196
AFG,2008,0.875,2,Energy,Solar Power,1.0986122886681098,0.961285752584596,1.1195170015024196
AFG,2009,0.875,2,Energy,Solar Power,1.0986122886681098,0.961285752584596,1.1195170015024196
AFG,2010,0.875,2,Energy,Solar Power,1.0986122886681098,0.961285752584596,1.1195170015024196
AFG,2011,0.875,2,Energy,Solar Power,1.0986122886681098,0.961285752584596,1.1195170015024196
AFG,2012,0.875,2,Energy,Solar Power,1.0986122886681098,0.961285752584596,1.1195170015024196
AFG,2013,0.875,2,Energy,Solar Power,1.0986122886681098,0.961285752584596,1.1195170015024196
AFG,2014,0.875,2,Energy,Solar Power,1.0986122886681098,0.961285752584596,1.1195170015024196
AFG,2015,0.875,2,Energy,Solar Power,1.0986122886681098,0.961285752584596,1.1195170015024196
AFG,2016,0.875,2,Energy,Solar Power,1.0986122886681098,0.961285752584596,1.1195170015024196
