Code,Income group,Year,emissions_change,avg_change_prev_3_years,avg_change_prev_5_years,prev_year_change
ABW,High income,2001,0.00836991493,,,
ABW,High income,2002,0.01908671986999999,0.00836991493,0.00836991493,0.00836991493
ABW,High income,2003,0.04902378902999993,0.013728317399999995,0.013728317399999995,0.01908671986999999
ABW,High income,2004,0.017941365749999993,0.025493474609999973,0.025493474609999973,0.04902378902999993
ABW,High income,2005,0.032460377650000094,0.02868395821666664,0.02360544739499998,0.017941365749999993
ABW,High income,2006,-0.002074001110000001,0.03314184414333334,0.025376433446,0.032460377650000094
ABW,High income,2007,0.04032281409999994,0.01610924743000003,0.023287650238,-0.002074001110000001
ABW,High income,2008,-0.007825551299999955,0.023569730213333345,0.02753486908399999,0.04032281409999994
ABW,High income,2009,0.033851812300000006,0.010141087229999993,0.016165001018000013,-0.007825551299999955
ABW,High income,2010,-0.01941563489999998,0.02211635836666666,0.019347090328000017,0.033851812300000006
ABW,High income,2011,-0.17038216170000003,0.0022035420333333575,0.008971887818000002,-0.01941563489999998
ABW,High income,2012,0.07286138420000005,-0.05198199476666667,-0.024689744300000004,-0.17038216170000003
ABW,High income,2013,0.05386201399999996,-0.03897880413333332,-0.018182030279999983,0.07286138420000005
ABW,High income,2014,0.011232348400000036,-0.014552921166666677,-0.0058445172200000005,0.05386201399999996
ABW,High income,2015,0.0013806358999999824,0.04598524886666668,-0.010368409999999995,0.011232348400000036
ABW,High income,2016,0.0176528413,0.02215833276666666,-0.006209155840000003,0.0013806358999999824
ABW,High income,2017,-0.026925472000000006,0.01008860853333334,0.03139784476,0.0176528413
ABW,High income,2018,0.034888253800000046,-0.002630664933333341,0.011440473519999994,-0.026925472000000006
ABW,High income,2019,0.07374551750000002,0.008538541033333347,0.007645721480000011,0.034888253800000046
ABW,High income,2020,-0.08109157720000015,0.027236099766666688,0.02014835530000001,0.07374551750000002
ABW,High income,2021,-0.015538986999999893,0.009180731366666639,0.003653912679999982,-0.08109157720000015
ABW,High income,2022,0.01749099639999996,-0.007628348900000008,-0.0029844529799999964,-0.015538986999999893
AFG,Low income,2001,-1.667275574999998,,,
AFG,Low income,2002,2.660393879000001,-1.667275574999998,-1.667275574999998,-1.667275574999998
