iso3,year,policies_per_year,policies_last_3_years,policies_last_5_years,policy_lag_1,policy_lag_2,policy_lag_3,policy_lag_4,policy_lag_5,policy_lag_6,policy_lag_7,policy_lag_8,policy_lag_9,income_group,avg_change_prev_3_years,avg_change_prev_5_years,prev_year_change,emissions_change
AFG,2002,0,0,0,0,0,0,0,0,0,0,0,0,Low income,-0.06792088922764705,-0.06792088922764705,-0.06792088922764705,0.10628926183965248
AFG,2003,0,0,0,0,0,0,0,0,0,0,0,0,Low income,0.019184186306002715,0.019184186306002715,0.10628926183965248,0.025743747060192224
AFG,2004,0,0,0,0,0,0,0,0,0,0,0,0,Low income,0.021370706557399217,0.021370706557399217,0.025743747060192224,0.002112947677577637
AFG,2005,0,0,0,0,0,0,0,0,0,0,0,0,Low income,0.04471531885914078,0.016556266837443823,0.002112947677577637,0.014713017062847111
AFG,2006,1,1,1,0,0,0,0,0,0,0,0,0,Low income,0.014189903933538991,0.01618761688252448,0.014713017062847111,0.009748741284179907
AFG,2007,0,1,1,1,0,0,0,0,0,0,0,0,Low income,0.008858235341534884,0.03172154298488987,0.009748741284179907,0.040762550509962914
AFG,2008,0,1,1,0,1,0,0,0,0,0,0,0,Low income,0.021741436285663312,0.01861620071895196,0.040762550509962914,0.11324684388184547
AFG,2009,0,0,1,0,0,1,0,0,0,0,0,0,Low income,0.05458604522532943,0.03611682008328261,0.11324684388184547,0.09476845314322357
AFG,2010,0,0,1,0,0,0,1,0,0,0,0,0,Low income,0.08292594917834399,0.0546479211764118,0.09476845314322357,0.10323938769245178
AFG,2011,0,0,0,0,0,0,0,1,0,0,0,0,Low income,0.10375156157250694,0.07235319530233272,0.10323938769245178,0.10278356594615667
AFG,2012,0,0,0,0,0,0,0,0,1,0,0,0,Low income,0.10026380226061067,0.09096016023472808,0.10278356594615667,-0.04686364269310239
AFG,2013,0,0,0,0,0,0,0,0,0,1,0,0,Low income,0.05305310364850202,0.07343492159411502,-0.04686364269310239,-0.03814830070075326
AFG,2014,0,0,0,0,0,0,0,0,0,0,1,0,Low income,0.005923874184100342,0.04315589267759527,-0.03814830070075326,0.00778104971945881
AFG,2015,0,0,0,0,0,0,0,0,0,0,0,1,Low income,-0.025743631224798946,0.025758411992842324,0.00778104971945881,-0.00015058566230985448
AFG,2016,0,0,0,0,0,0,0,0,0,0,0,0,Low income,-0.010172612214534768,0.005080417321889996,-0.00015058566230985448,-0.01594506946633123
AFG,2017,0,0,0,0,0,0,0,0,0,0,0,0,Low income,-0.0027715351363940912,-0.018665309760607585,-0.01594506946633123,0.029810480712752607
AFG,2018,0,0,0,0,0,0,0,0,0,0,0,0,Low income,0.004571608528037174,-0.0033304850794365847,0.029810480712752607,-0.00813950238797867
AFG,2019,1,1,1,0,0,0,0,0,0,0,0,0,Low income,0.0019086362861475692,0.0026712745831183327,-0.00813950238797867,-0.02777651645569401
AFG,2020,0,1,1,1,0,0,0,0,0,0,0,0,Low income,-0.002035179376973358,-0.004440238651912232,-0.02777651645569401,-0.05632819201998274
AFG,2021,1,2,2,0,1,0,0,0,0,0,0,0,Low income,-0.030748070287885138,-0.01567575992344681,-0.05632819201998274,0.021186010156986956
AFG,2022,0,1,2,1,0,1,0,0,0,0,0,0,Low income,-0.020972899439563264,-0.00824954399878317,0.021186010156986956,0.004268498013782818
AGO,2002,0,2,4,0,2,0,2,0,0,0,1,0,Lower middle income,-0.019548449608701723,-0.019548449608701723,-0.019548449608701723,-0.011496652986346056
AGO,2003,0,0,2,0,0,2,0,2,0,0,0,1,Lower middle income,-0.01552255129752389,-0.01552255129752389,-0.011496652986346056,0.0023256749842408553
AGO,2004,1,1,3,0,0,0,2,0,2,0,0,0,Lower middle income,-0.009573142536935642,-0.009573142536935642,0.0023256749842408553,0.05496509462247179
AGO,2005,0,1,1,1,0,0,0,2,0,2,0,0,Lower middle income,0.015264705540122195,0.006561416752916216,0.05496509462247179,-0.007832231129100364
AGO,2006,0,1,1,0,1,0,0,0,2,0,2,0,Lower middle income,0.016486179492537428,0.0036826871765129,-0.007832231129100364,-0.06480789631053874
AGO,2007,1,1,2,0,0,1,0,0,0,2,0,2,Lower middle income,-0.005891677605722438,-0.005369202163854503,-0.06480789631053874,-0.005622947880358886
AGO,2008,1,2,3,1,0,0,1,0,0,0,2,0,Lower middle income,-0.02608769177333266,-0.0041944611426570685,-0.005622947880358886,0.03924142431985178
AGO,2009,1,3,3,1,1,0,0,1,0,0,0,2,Lower middle income,-0.010396473290348615,0.0031886887244651162,0.03924142431985178,0.011729467312729724
