year,country,iso3,pol,status
2011,Morocco,MAR,2,In force
2011,Morocco,MAR,2,In force
2022,Switzerland,CHE,6,Announced
2022,Switzerland,CHE,6,In force
2022,Switzerland,CHE,6,In force
2022,Switzerland,CHE,6,In force
2022,Switzerland,CHE,6,In force
2022,Switzerland,CHE,6,Announced
2022,Switzerland,CHE,6,In force
2009,Germany,DEU,23,Ended
2009,Germany,DEU,23,In force
2009,Germany,DEU,23,In force
2009,Germany,DEU,23,In force
2009,Germany,DEU,23,In force
2009,Germany,DEU,23,In force
2009,Germany,DEU,23,Ended
2009,Germany,DEU,23,Ended
2009,Germany,DEU,23,Ended
2009,Germany,DEU,23,In force
2009,Germany,DEU,23,In force
2009,Germany,DEU,23,In force
2009,Germany,DEU,23,In force
2009,Germany,DEU,23,In force
2009,Germany,DEU,23,In force
2009,Germany,DEU,23,Ended
2009,Germany,DEU,23,In force
2009,Germany,DEU,23,Ended
2009,Germany,DEU,23,Ended
2009,Germany,DEU,23,In force
2009,Germany,DEU,23,Ended
2009,Germany,DEU,23,In force
2009,Germany,DEU,23,In force
2010,Finland,FIN,7,In force
2010,Finland,FIN,7,In force
2010,Finland,FIN,7,In force
2010,Finland,FIN,7,In force
2010,Finland,FIN,7,In force
2010,Finland,FIN,7,In force
2010,Finland,FIN,7,In force
2000,Greece,GRC,2,In force
2000,Greece,GRC,2,In force
2007,Netherlands,NLD,4,Ended
2007,Netherlands,NLD,4,In force
2007,Netherlands,NLD,4,In force
2007,Netherlands,NLD,4,In force
2012,People's Republic of China,CHN,24,Ended
2012,People's Republic of China,CHN,24,In force
2012,People's Republic of China,CHN,24,In force
2012,People's Republic of China,CHN,24,In force
2012,People's Republic of China,CHN,24,Ended
2012,People's Republic of China,CHN,24,Ended
2012,People's Republic of China,CHN,24,Ended
2012,People's Republic of China,CHN,24,In force
2012,People's Republic of China,CHN,24,Ended
2012,People's Republic of China,CHN,24,Ended
2012,People's Republic of China,CHN,24,In force
2012,People's Republic of China,CHN,24,Ended
2012,People's Republic of China,CHN,24,In force
2012,People's Republic of China,CHN,24,Ended
2012,People's Republic of China,CHN,24,In force
2012,People's Republic of China,CHN,24,Ended
2012,People's Republic of China,CHN,24,Ended
2012,People's Republic of China,CHN,24,In force
2012,People's Republic of China,CHN,24,Ended
2012,People's Republic of China,CHN,24,In force
2012,People's Republic of China,CHN,24,Ended
2012,People's Republic of China,CHN,24,In force
2012,People's Republic of China,CHN,24,In force
2012,People's Republic of China,CHN,24,In force
2002,Turkiye,TUR,1,In force
2008,France,FRA,7,In force
2008,France,FRA,7,In force
2008,France,FRA,7,Ended
2008,France,FRA,7,In force
2008,France,FRA,7,In force
2008,France,FRA,7,In force
2008,France,FRA,7,In force
2008,United States,USA,47,In force
2008,United States,USA,47,In force
2008,United States,USA,47,Ended
2008,United States,USA,47,In force
2008,United States,USA,47,In force
2008,United States,USA,47,Ended
2008,United States,USA,47,In force
2008,United States,USA,47,Ended
2008,United States,USA,47,In force
2008,United States,USA,47,Ended
2008,United States,USA,47,In force
2008,United States,USA,47,Ended
2008,United States,USA,47,Ended
2008,United States,USA,47,In force
2008,United States,USA,47,In force
2008,United States,USA,47,In force
2008,United States,USA,47,Ended
2008,United States,USA,47,Ended
2008,United States,USA,47,In force
2008,United States,USA,47,In force
2008,United States,USA,47,Ended
2008,United States,USA,47,In force
2008,United States,USA,47,In force
2008,United States,USA,47,In force
2008,United States,USA,47,In force
2008,United States,USA,47,In force
2008,United States,USA,47,Ended
2008,United States,USA,47,Ended
2008,United States,USA,47,Ended
2008,United States,USA,47,In force
2008,United States,USA,47,Ended
2008,United States,USA,47,Ended
2008,United States,USA,47,Ended
2008,United States,USA,47,In force
2008,United States,USA,47,Ended
2008,United States,USA,47,Ended
2008,United States,USA,47,In force
2008,United States,USA,47,In force
2008,United States,USA,47,In force
2008,United States,USA,47,Ended
2008,United States,USA,47,In force
2008,United States,USA,47,In force
2008,United States,USA,47,In force
2008,United States,USA,47,In force
2008,United States,USA,47,In force
2008,United States,USA,47,In force
2008,United States,USA,47,In force
2000,New Zealand,NZL,3,In force
2000,New Zealand,NZL,3,In force
2000,New Zealand,NZL,3,In force
2004,People's Republic of China,CHN,3,Ended
2004,People's Republic of China,CHN,3,In force
2004,People's Republic of China,CHN,3,In force
2013,Canada,CAN,12,In force
2013,Canada,CAN,12,In force
2013,Canada,CAN,12,In force
2013,Canada,CAN,12,In force
2013,Canada,CAN,12,In force
2013,Canada,CAN,12,In force
2013,Canada,CAN,12,In force
2013,Canada,CAN,12,In force
2013,Canada,CAN,12,In force
2013,Canada,CAN,12,In force
2013,Canada,CAN,12,In force
2013,Canada,CAN,12,In force
2004,Norway,NOR,8,Ended
2004,Norway,NOR,8,In force
2004,Norway,NOR,8,In force
2004,Norway,NOR,8,In force
2004,Norway,NOR,8,In force
2004,Norway,NOR,8,Ended
2004,Norway,NOR,8,In force
2004,Norway,NOR,8,In force
2008,Spain,ESP,14,Ended
2008,Spain,ESP,14,Ended
2008,Spain,ESP,14,In force
2008,Spain,ESP,14,Ended
2008,Spain,ESP,14,Ended
2008,Spain,ESP,14,Ended
2008,Spain,ESP,14,In force
2008,Spain,ESP,14,Ended
2008,Spain,ESP,14,Ended
2008,Spain,ESP,14,Ended
2008,Spain,ESP,14,In force
2008,Spain,ESP,14,Ended
2008,Spain,ESP,14,Ended
2008,Spain,ESP,14,Ended
2009,Luxembourg,LUX,2,In force
2009,Luxembourg,LUX,2,In force
2010,Sweden,SWE,5,In force
2010,Sweden,SWE,5,In force
2010,Sweden,SWE,5,In force
2010,Sweden,SWE,5,In force
2010,Sweden,SWE,5,In force
2005,Canada,CAN,2,In force
2005,Canada,CAN,2,In force
2010,Australia,AUS,18,In force
2010,Australia,AUS,18,In force
2010,Australia,AUS,18,Ended
2010,Australia,AUS,18,Ended
2010,Australia,AUS,18,In force
2010,Australia,AUS,18,In force
2010,Australia,AUS,18,In force
2010,Australia,AUS,18,In force
2010,Australia,AUS,18,In force
2010,Australia,AUS,18,Ended
2010,Australia,AUS,18,Ended
2010,Australia,AUS,18,Ended
2010,Australia,AUS,18,In force
2010,Australia,AUS,18,Ended
2010,Australia,AUS,18,In force
2010,Australia,AUS,18,In force
2010,Australia,AUS,18,In force
2010,Australia,AUS,18,In force
2009,Italy,ITA,8,In force
2009,Italy,ITA,8,In force
2009,Italy,ITA,8,In force
