iso_alpha_3,income_group,year,total_emissions
ABW,High income,2000,0.33576535438
ABW,High income,2001,0.34413526931
ABW,High income,2002,0.36322198918
ABW,High income,2003,0.41224577820999997
ABW,High income,2004,0.43018714395999996
ABW,High income,2005,0.46264752161
ABW,High income,2006,0.4605735205
ABW,High income,2007,0.5008963345999999
ABW,High income,2008,0.49307078330000004
ABW,High income,2009,0.5269225956
ABW,High income,2010,0.5075069607
ABW,High income,2011,0.33712479900000003
ABW,High income,2012,0.4099861832
ABW,High income,2013,0.4638481972
ABW,High income,2014,0.4750805456
ABW,High income,2015,0.4764611815
ABW,High income,2016,0.4941140228
ABW,High income,2017,0.4671885508
ABW,High income,2018,0.5020768046
ABW,High income,2019,0.5758223221000001
ABW,High income,2020,0.49473074489999996
ABW,High income,2021,0.4791917579
ABW,High income,2022,0.4966827543
AFG,Low income,2000,25.390390615
AFG,Low income,2001,23.723115040000003
AFG,Low income,2002,26.383508919000004
AFG,Low income,2003,27.071537518000003
AFG,Low income,2004,27.128798734000004
AFG,Low income,2005,27.530895991000005
AFG,Low income,2006,27.800600075000002
AFG,Low income,2007,28.957237026000005
AFG,Low income,2008,32.429451288
AFG,Low income,2009,35.653076962
AFG,Low income,2010,39.530591524
AFG,Low income,2011,43.809838133
AFG,Low income,2012,41.804114361
AFG,Low income,2013,40.239393905
AFG,Low income,2014,40.553719937000004
AFG,Low income,2015,40.547613588000004
AFG,Low income,2016,39.90620630400001
AFG,Low income,2017,41.113738634
AFG,Low income,2018,40.780451496
AFG,Low income,2019,39.663299732000006
AFG,Low income,2020,37.490895923000004
AFG,Low income,2021,38.293651998
AFG,Low income,2022,38.457457729000005
AGO,Lower middle income,2000,111.52394296099999
AGO,Lower middle income,2001,109.36499359
AGO,Lower middle income,2002,108.114862143
AGO,Lower middle income,2003,108.366594784
AGO,Lower middle income,2004,114.489712287
AGO,Lower middle income,2005,113.59650486799998
AGO,Lower middle income,2006,106.46803960400001
AGO,Lower middle income,2007,105.871055345
AGO,Lower middle income,2008,110.108178004
AGO,Lower middle income,2009,111.407292344
AGO,Lower middle income,2010,118.320754529
AGO,Lower middle income,2011,147.244070758
AGO,Lower middle income,2012,148.805187821
AGO,Lower middle income,2013,153.402874822
AGO,Lower middle income,2014,155.61912418
AGO,Lower middle income,2015,160.47104597700002
AGO,Lower middle income,2016,157.527001418
AGO,Lower middle income,2017,152.294729294
AGO,Lower middle income,2018,148.625338675
AGO,Lower middle income,2019,147.84500072
AGO,Lower middle income,2020,142.092103239
AGO,Lower middle income,2021,140.023488185
AGO,Lower middle income,2022,136.889647596
ALB,Upper middle income,2000,8.6226890814
ALB,Upper middle income,2001,8.8137420857
ALB,Upper middle income,2002,9.442418307699999
ALB,Upper middle income,2003,9.634894194
ALB,Upper middle income,2004,9.8460090084
ALB,Upper middle income,2005,9.4395856329
ALB,Upper middle income,2006,9.4849355109
ALB,Upper middle income,2007,9.441164473299999
ALB,Upper middle income,2008,9.225000883
ALB,Upper middle income,2009,9.20263649539
ALB,Upper middle income,2010,9.61132431345
ALB,Upper middle income,2011,12.8129598385
ALB,Upper middle income,2012,13.523131108
ALB,Upper middle income,2013,9.7843908498
ALB,Upper middle income,2014,10.175930071
ALB,Upper middle income,2015,10.115223849
ALB,Upper middle income,2016,9.730925372
ALB,Upper middle income,2017,10.551144102
ALB,Upper middle income,2018,10.499227485999999
ALB,Upper middle income,2019,10.014282702
ALB,Upper middle income,2020,9.132821078
ALB,Upper middle income,2021,9.167749916
ALB,Upper middle income,2022,9.252881797
ARE,High income,2000,118.0587372474
ARE,High income,2001,131.9340476469
ARE,High income,2002,132.9853103306
ARE,High income,2003,140.6817308866
ARE,High income,2004,147.191215465
ARE,High income,2005,156.3960697727
ARE,High income,2006,164.0252412159
ARE,High income,2007,175.16126899
ARE,High income,2008,203.3328403988
ARE,High income,2009,204.8455413932
ARE,High income,2010,214.3484488942
ARE,High income,2011,222.7822957934
ARE,High income,2012,234.1728747655
ARE,High income,2013,246.49021287820003
ARE,High income,2014,250.3614561303
ARE,High income,2015,264.2971868424
ARE,High income,2016,272.7188525311
ARE,High income,2017,262.55339728
ARE,High income,2018,245.0331159886
ARE,High income,2019,260.261775905
ARE,High income,2020,262.847956228
ARE,High income,2021,278.32489868
ARE,High income,2022,286.675891431
ARG,Upper middle income,2000,388.616722533
ARG,Upper middle income,2001,382.84566812099996
ARG,Upper middle income,2002,395.83550896500003
ARG,Upper middle income,2003,420.223481977
ARG,Upper middle income,2004,446.635897725
ARG,Upper middle income,2005,439.039845346
ARG,Upper middle income,2006,468.712152848
ARG,Upper middle income,2007,479.929589518
ARG,Upper middle income,2008,457.228906385
ARG,Upper middle income,2009,411.223166541
ARG,Upper middle income,2010,415.69654037600003
ARG,Upper middle income,2011,410.842236509
ARG,Upper middle income,2012,452.016707053
ARG,Upper middle income,2013,457.512916607
ARG,Upper middle income,2014,428.169506053
ARG,Upper middle income,2015,414.878575755
ARG,Upper middle income,2016,407.238652894
ARG,Upper middle income,2017,420.153917683
ARG,Upper middle income,2018,417.544523039
ARG,Upper middle income,2019,413.000064896
ARG,Upper middle income,2020,398.278381181
ARG,Upper middle income,2021,417.672981164
ARG,Upper middle income,2022,422.244981064
ARM,Upper middle income,2000,3.801808501
ARM,Upper middle income,2001,3.9087712
ARM,Upper middle income,2002,3.441890321
ARM,Upper middle income,2003,3.878699036
ARM,Upper middle income,2004,4.282339319
ARM,Upper middle income,2005,4.97420617
ARM,Upper middle income,2006,5.043634173
ARM,Upper middle income,2007,5.865084497
ARM,Upper middle income,2008,6.443337698
ARM,Upper middle income,2009,5.260172498999999
ARM,Upper middle income,2010,5.103506442
ARM,Upper middle income,2011,5.688308593
ARM,Upper middle income,2012,6.5702648869999996
ARM,Upper middle income,2013,6.280834998
ARM,Upper middle income,2014,6.70693718395
ARM,Upper middle income,2015,6.63278719426
ARM,Upper middle income,2016,6.09997508622
ARM,Upper middle income,2017,6.3002864261700005
ARM,Upper middle income,2018,6.4611806419499995
ARM,Upper middle income,2019,6.94298116413
ARM,Upper middle income,2020,7.4775200362
ARM,Upper middle income,2021,7.6768637312
ARM,Upper middle income,2022,7.05028556617
ATG,High income,2000,0.18645735598649998
ATG,High income,2001,0.18659876280159998
ATG,High income,2002,0.20081224689139998
ATG,High income,2003,0.215545311723
ATG,High income,2004,0.2207985934876
ATG,High income,2005,0.22567595778129998
ATG,High income,2006,0.243650865979
ATG,High income,2007,0.2644509975823
ATG,High income,2008,0.28145936109569997
ATG,High income,2009,0.3116021368301
ATG,High income,2010,0.3023660484675
ATG,High income,2011,0.2409603161808
ATG,High income,2012,0.26265733136479996
ATG,High income,2013,0.30812202840999997
ATG,High income,2014,0.31781927147
ATG,High income,2015,0.31687553554000003
ATG,High income,2016,0.33760801279
ATG,High income,2017,0.29615036177
ATG,High income,2018,0.33570194851
ATG,High income,2019,0.3691656602
ATG,High income,2020,0.31912734231
ATG,High income,2021,0.30940766051999996
ATG,High income,2022,0.32025220315
AUS,High income,2000,581.422036186
AUS,High income,2001,602.4376419719999
AUS,High income,2002,606.209253216
AUS,High income,2003,607.749769294
AUS,High income,2004,608.1837912799999
AUS,High income,2005,636.8793132669999
AUS,High income,2006,645.68630417
AUS,High income,2007,661.194704992
AUS,High income,2008,645.677541714
AUS,High income,2009,652.332111969
AUS,High income,2010,642.646054846
AUS,High income,2011,623.402903574
AUS,High income,2012,609.135597022
AUS,High income,2013,590.609903493
AUS,High income,2014,581.652060456
AUS,High income,2015,571.448592934
AUS,High income,2016,539.5953089770001
AUS,High income,2017,537.730258929
AUS,High income,2018,543.046381537
AUS,High income,2019,536.600983553
AUS,High income,2020,515.452320155
AUS,High income,2021,504.263936243
AUS,High income,2022,513.981380061
AUT,High income,2000,67.965327094
AUT,High income,2001,70.010914381
AUT,High income,2002,76.562867089
AUT,High income,2003,91.735567388
AUT,High income,2004,87.134993267
AUT,High income,2005,85.879740223
AUT,High income,2006,89.10176081899999
AUT,High income,2007,85.754513887
AUT,High income,2008,86.445018883
AUT,High income,2009,80.938862213
AUT,High income,2010,85.790019265
AUT,High income,2011,83.606747573
AUT,High income,2012,80.991180361
AUT,High income,2013,82.634983006
AUT,High income,2014,79.109161744
AUT,High income,2015,80.265447924
AUT,High income,2016,81.115016294
AUT,High income,2017,82.824239028
AUT,High income,2018,79.448025155
AUT,High income,2019,81.504664731
AUT,High income,2020,76.7888876159
AUT,High income,2021,79.7012985034
AUT,High income,2022,75.22563211
AZE,Upper middle income,2000,38.151888781400004
AZE,Upper middle income,2001,37.23220416
AZE,Upper middle income,2002,36.9910066046
AZE,Upper middle income,2003,40.047486739
AZE,Upper middle income,2004,40.044346436
AZE,Upper middle income,2005,43.140572667
AZE,Upper middle income,2006,44.752801987
AZE,Upper middle income,2007,46.727625675
