year,pop_total,electricity_from_renewables_pct,renewable_energy_consumption_pct,forest_area_pct,gdp_2015_usd,imports_2015_usd,industry_value_added_2015_usd,manufacturing_value_added_2015_usd,exports_2015_usd,iso_alpha_3
2022,731821393.0,,,29.7372051021705,1040349774688.04,319655913644.439,253599534850.955,101661168377.229,236020767222.08,
2021,713090928.0,4.93931845790503,,29.9551937873237,1004645882051.53,276909369967.672,246858820023.841,99893989341.3856,214308144737.283,
2020,694446100.0,4.58579206497238,66.1234486957514,30.1742524356603,960681330778.443,244864816375.026,236377602338.49,94467653402.5749,195872185250.364,
2019,675950189.0,5.17379632942775,63.3870896989865,30.3916258622835,989009454513.18,277064930312.19,248235816846.633,101483715790.674,221792164367.642,
2018,657801085.0,3.945917441939,62.2426314030968,30.6115118196972,967773422990.44,283865667587.539,243742864102.62,100210407041.644,227561100201.008,
2017,640058741.0,3.78840765166538,61.8911318801459,30.8243162615385,942636770833.106,272646917809.293,237099538128.804,97885803989.3255,220178284719.813,
2016,623369401.0,2.47643180207433,62.4576883595774,31.0396815593755,917992857347.0,262545372365.167,231183307556.3,95964098619.0215,209935376402.559,
2015,607123269.0,2.56792678260187,62.1283378931582,31.2604197322287,898277807343.005,277564309639.515,226510627982.497,92724571476.6443,216730710797.857,
2014,590968990.0,1.573631022603,61.499576835816,31.4706339012314,872072576697.475,278610978517.413,219891777607.283,89502303662.6619,224199001043.315,
2013,575202699.0,1.09242715496842,61.0826852828279,31.6806349371412,838588875517.923,270848953225.458,211024706890.594,88863494405.1207,209264827020.011,
2012,559609961.0,0.684599736929577,61.7183967592541,31.8906540898919,803696721168.009,258495659149.699,205107019696.106,86303183883.2599,199315322804.731,
2011,544737983.0,1.04225856528709,63.1246524339127,36.4089620173726,789898216824.135,244167546152.937,205132369708.681,84012626556.4253,233823627540.756,
2010,530308387.0,0.699483278827257,63.0998368387508,36.6482350829761,759043541900.591,296889673444.307,198809185439.943,80426349772.454,380895989608.366,
2009,516003448.0,0.986166306686343,61.4204207108602,36.8486322944731,721307367420.697,280802133199.788,187343082405.174,75633121089.7918,356856260440.11,
2008,502070763.0,0.637084947316999,62.0293694728243,37.047084435571,715079142760.18,301346966815.077,192099754348.524,79937623203.6887,373455011171.934,
2007,488580707.0,0.9193143427771,61.6429091855007,37.2453251750786,685150490273.657,277072418153.498,186599359324.761,78004523100.0361,346784997662.735,
2006,475606210.0,0.601989083202435,62.9042205481805,37.4438212701902,642446909327.171,258025501291.7,172137454932.961,74053005225.4534,312046680787.123,
2005,463076637.0,0.680765547434465,63.2439096118089,37.6421527632078,602795765120.071,240422146067.077,159859209262.806,70005615219.1704,284743747351.354,
2004,450928044.0,0.576937498550841,63.7751947542527,37.8406467655959,567800087822.488,218509536514.065,147881704659.619,66426145011.6509,264493162767.289,
2003,439173286.0,0.353028512175145,64.7295972927242,38.5024345889681,537916681418.981,184519435240.952,138657063956.172,63290959204.4757,248079811113.574,
2002,427820358.0,0.154401462617912,65.1521153198181,38.7032073423792,522471173018.118,165500326396.436,136057273541.928,63325594786.4404,225152752885.76,
2001,416807868.0,0.787750486302477,65.8786989918387,38.9039800957902,503169209698.708,158078489400.94,131011009004.756,61723283335.4378,209278476659.314,
2000,406156661.0,0.466431605290502,65.4495238865207,39.1047528492012,486126929267.789,155835030059.68,128711826972.554,60875002871.7955,198322568277.495,
2022,497387180.0,,,19.6474877713602,897385026208.953,,182082903522.014,91163619819.2068,,
2021,485920997.0,1.26862925948468,,19.7320365324224,864618743927.334,,183444317525.805,88605006851.0257,,
2020,474569351.0,1.19924766060327,76.1028186880091,19.8167839774834,831063479599.043,,181710737666.915,84663848696.8116,,
2019,463365429.0,0.710267684050053,75.3289283798123,19.9012301104615,839491928524.291,,187707942187.123,86064777202.3678,,
2018,452195915.0,0.427208481947933,75.9600298068077,19.9860995956125,813201903750.811,,179796540317.228,83526234200.2737,,
2017,440882906.0,0.257871252744449,76.4130814959741,20.0713271823989,790708189694.781,,174104995193.683,80235958305.4746,,
2016,429454743.0,-0.365302890614928,76.2833830991289,20.1526101563381,773007777373.463,,168169188162.834,78766171181.7099,,
2015,418127845.0,-0.0939973781261485,76.6891600561783,20.2342307683804,771766914345.161,,176800381954.067,79051378277.0508,,
2014,406992047.0,0.707461682156242,76.1358024948566,20.3221869203098,751328052455.902,,178163712355.033,78801850445.0828,,
2013,396030207.0,1.42295899252224,77.1379412154111,20.4101430722392,709335243186.094,,169357983155.816,71894332905.2346,,
2012,385360349.0,0.0239998814961341,78.8868764432574,20.4980992241686,668175443165.864,,164558742362.125,63240921642.6779,,
2011,374790143.0,-0.524451218252783,79.5769126675124,20.586055376098,635339697254.865,,158643960459.137,57916144326.4871,,
2010,364358270.0,1.80730829691933,80.9395137178094,20.6740115280274,605933572285.317,,146501483837.004,51843243606.8811,,
2009,354343844.0,6.02152186440385,82.818630343753,20.7661387298829,566454396917.441,,141596025463.107,50754878070.4896,,
2008,344586109.0,3.79157350966784,81.6105898353143,20.8582659317383,533023793380.615,,137866406686.8,49209464183.6494,,
2007,334984176.0,3.51568185756368,82.4864593391866,20.9503931335938,501534313377.177,,137608214901.916,47287850802.5412,,
2006,325663158.0,8.38858042359416,81.9801467880255,21.0425203354492,475249397511.496,,138604550557.358,45877785240.3749,,
2005,316588476.0,11.0785717653395,81.0568164946989,21.1346475373047,451024228913.614,,139780972096.429,45316472288.7406,,
2004,307725100.0,0.0827681106380097,80.8757704707822,21.2267747391601,426202276015.904,,136857906283.215,42487324436.5825,,
2003,299142845.0,1.91677695389692,80.8145905716618,21.3189019410156,394677265173.151,,133858736037.595,42320304162.2078,,
2002,290841795.0,-3.13909512984365,81.8649253938099,21.411029142871,373938839287.057,,122757677587.942,45603847721.3115,,
2001,282780717.0,1.73086733150791,82.1203722327835,21.5031563447265,340022289698.95,,119780733839.127,39652624780.511,,
2000,274968446.0,2.72455927618692,83.2733048064906,21.5952835465819,323300981738.909,,114430637915.872,38115509862.0824,,
2022,471352066.0,,,2.77355392704447,2925149568927.99,1270658276516.27,1135901112684.67,332748753635.58,1280914166595.95,
