country,policy_count,max_year,min_year,iso3,City/Municipal,International,National,Other,Regional,State/Provincial,Unknown
United States,624,2022,2000,USA,3,42,397,0,0,180,2
Australia,383,2022,2000,AUS,1,31,268,0,1,82,0
Canada,371,2022,2000,CAN,18,23,236,0,0,94,0
People's Republic of China,349,2022,2001,CHN,9,10,311,0,1,17,1
United Kingdom,312,2022,2000,GBR,6,20,271,0,0,15,0
European Union,283,2022,2000,EUR,0,227,45,1,10,0,0
India,274,2022,2000,IND,4,18,200,0,1,51,0
Spain,263,2022,2000,ESP,7,12,237,0,1,6,0
Germany,240,2022,2000,DEU,3,20,217,0,0,0,0
Mexico,198,2022,2000,MEX,4,20,168,0,0,6,0
France,196,2022,2000,FRA,3,16,175,1,0,1,0
Japan,180,2022,2000,JPN,4,36,140,0,0,0,0
Italy,175,2022,2000,ITA,7,14,136,0,0,18,0
Portugal,174,2022,2000,PRT,2,12,160,0,0,0,0
Netherlands,170,2022,2000,NLD,4,20,145,0,0,1,0
Austria,146,2022,2000,AUT,1,13,129,0,0,3,0
Indonesia,143,2022,2001,IDN,1,15,127,0,0,0,0
Norway,138,2022,2000,NOR,6,34,98,0,0,0,0
Ireland,137,2022,2000,IRL,2,11,123,0,1,0,0
Korea,135,2022,2000,KOR,1,24,110,0,0,0,0
South Africa,134,2022,2000,ZAF,0,7,127,0,0,0,0
Sweden,133,2022,2000,SWE,1,11,121,0,0,0,0
Poland,130,2022,2001,POL,0,11,119,0,0,0,0
Belgium,125,2022,2000,BEL,1,12,72,0,0,40,0
Brazil,122,2022,2000,BRA,0,12,109,0,0,1,0
Denmark,121,2022,2000,DNK,0,15,106,0,0,0,0
Colombia,110,2022,2000,COL,0,6,104,0,0,0,0
Finland,105,2022,2000,FIN,0,12,93,0,0,0,0
New Zealand,104,2022,2000,NZL,0,9,95,0,0,0,0
Chile,100,2022,2000,CHL,0,7,93,0,0,0,0
Switzerland,95,2022,2000,CHE,0,27,66,0,0,2,0
Turkiye,89,2022,2000,TUR,0,20,69,0,0,0,0
Singapore,87,2022,2001,SGP,0,24,63,0,0,0,0
Hungary,83,2022,2000,HUN,2,12,69,0,0,0,0
Slovak Republic,82,2022,2004,SVK,1,12,69,0,0,0,0
Luxembourg,80,2022,2000,LUX,0,9,71,0,0,0,0
Estonia,77,2022,2000,EST,0,10,67,0,0,0,0
Viet Nam,74,2022,2000,VNM,0,16,58,0,0,0,0
Czechia,69,2022,2000,CZE,1,10,58,0,0,0,0
Greece,67,2022,2000,GRC,1,9,57,0,0,0,0
Argentina,64,2021,2000,ARG,0,8,53,0,0,3,0
Lithuania,60,2022,2000,LTU,1,9,50,0,0,0,0
Peru,59,2022,2003,PER,0,13,46,0,0,0,0
Israel,55,2022,2000,ISR,1,8,46,0,0,0,0
Russian Federation,52,2022,2000,RUS,0,9,43,0,0,0,0
