IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,Substance,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
Non-Annex_I,Rest Central America,ABW,Aruba,GWP_100_AR5_GHG,36.96955952,41.82523995,52.70835174,57.70430896,56.99942988,71.13401868,70.2004817,81.04539659,85.91715839,89.93249638,93.91155596,97.11500433,96.20143985,98.95997052,113.5740134,119.2075533,128.9217954,143.8383473,157.9957813,213.217513,220.3176779,246.8574868,272.0011326,273.5591398,309.0680527,338.7221319,229.5756914,368.7214836,377.7604426,382.7350817,348.0331462,351.0933623,376.4861037,426.8102585,441.1586932,478.2731988,487.7381242,522.8274991,515.3015192,550.7351851,528.9147748,340.9175647,405.7147035,440.5367756,469.9231283,491.5164282,515.0733615,496.6883251,494.9669176,540.0134892,519.0807272,538.3347994,567.4920297,569.5027885,588.7164028
Non-Annex_I,India +,AFG,Afghanistan,GWP_100_AR5_GHG,15299.96408,15221.08024,13278.75223,13972.04875,15242.00177,15968.87186,16124.56087,16187.78275,15833.41313,15723.80999,15648.48142,15817.48317,15812.02874,15768.51006,14699.66495,14619.47465,12949.95377,12818.52541,13085.31764,12681.89248,12931.55191,13013.95902,12065.81026,12186.09241,12247.31063,12463.46299,13735.23609,14797.39853,15647.83339,16508.47787,14364.94047,12628.4462,15228.57195,15857.56496,15993.33627,16144.91309,16338.49818,17511.64729,20859.99193,23862.50219,27768.53122,31898.80727,29759.34823,28131.94421,28354.53803,28093.08462,27164.74141,30474.59482,31935.81042,32436.16845,32400.16796,32835.84592,31912.13908,32435.10674,33034.84009
Non-Annex_I,Southern_Africa,AGO,Angola,GWP_100_AR5_GHG,18834.35018,18721.84983,21316.77902,22878.75711,23586.10083,22421.77222,18464.44718,23132.61515,25307.98369,25833.9481,26308.00695,24901.66249,27276.83961,28851.60732,29283.55236,31646.80165,32949.49449,34668.89137,36424.61418,37309.13763,34084.53421,33399.06246,32661.43315,36630.45742,47405.67412,54625.32282,65542.5179,67282.00691,73101.04509,73837.68579,68933.00392,67211.38026,64921.62216,65375.92523,70639.25242,68698.80782,61220.94295,59728.50963,63036.14943,64538.42369,71664.96262,70561.93598,72492.007,77026.25178,78997.61562,83536.85786,80625.50776,75433.64268,70465.11603,71208.74944,63159.2211,66601.91942,68035.23704,68280.78505,69922.93878
Non-Annex_I,Rest Central America,AIA,Anguilla,GWP_100_AR5_GHG,3.397520607,3.447974068,3.594583501,3.480455474,3.770681707,4.05092979,3.920464386,4.0525645,4.449551698,4.78249508,6.033377588,8.315474481,8.75256431,7.770814764,7.453074076,5.231094247,4.738996636,7.841555351,7.560032568,7.962846079,7.969780493,9.525159627,9.896406997,12.02719935,15.33516343,18.7733849,18.62066972,15.90851227,14.76940509,14.08232449,17.88997799,18.43740188,13.27801133,16.66125417,16.0717901,16.32890723,15.51202731,15.06414,18.10482844,23.18918817,27.19060088,29.27399915,29.31938655,31.31268493,31.29295174,31.41766744,31.81268103,32.56069819,31.68204538,31.03668447,26.12483301,25.31381301,25.15585638,25.15758378,26.03516641
Int. Aviation,Int. Aviation,AIR,Int. Aviation,GWP_100_AR5_GHG,172478.0158,172465.4467,182459.8255,190296.9148,183162.1061,177165.8344,177483.0782,193593.3665,200750.1935,207533.9481,206393.5772,205575.3359,213055.7902,214947.3992,222984.7775,229083.7706,251599.8531,265981.3091,281007.436,295123.3958,264256.6845,257138.9356,265696.5431,270898.5941,284816.8791,295649.0702,307733.5707,322567.8547,333351.5035,347522.9362,360037.454,353823.7897,374406.6738,372288.4126,408435.3791,434717.4975,450182.9813,465329.7605,472535.1483,449629.6157,475334.2349,488254.1543,490417.2921,498900.3844,513857.056,543596.0408,567905.9257,597733.3715,623932.3985,633217.0535,299636.3343,330748.4075,477751.478,578330.7365,622334.1621
Non-Annex_I,Central Europe,ALB,Albania,GWP_100_AR5_GHG,8230.901378,8182.606531,9115.145341,8595.385283,8865.959895,9047.11137,9658.663349,10216.35804,11240.29812,12396.61679,12578.29986,11619.5564,12264.40401,13114.93085,13428.85786,12991.77609,13216.37163,13503.80315,13399.21988,13313.28441,11498.36047,9052.585379,6171.350926,6209.333113,6907.2591,6549.409671,6282.386623,5529.223583,5788.893001,6998.529602,7197.681691,7385.374539,8006.921474,8195.193892,8403.265257,7992.88318,8037.691097,7992.78042,7780.071805,7763.170013,8071.487988,8504.615878,8177.15435,8437.716268,8918.760743,8763.343204,8375.388727,9194.657026,9191.052349,8666.24502,7997.195285,8496.282909,7697.618551,7261.24715,7124.310567
Non-Annex_I,Rest Central America,ANT,Netherlands Antilles,GWP_100_AR5_GHG,15075.02611,15075.83353,14652.02431,16202.90486,14668.96709,10582.46453,11256.72123,11392.97362,9680.037293,9575.381157,9084.52645,8420.107553,7643.059182,7177.126842,7001.328979,4686.265368,4474.399005,4153.7185,3645.845587,3133.571974,2844.070818,2946.708782,3080.615172,2557.669515,2865.963373,2872.715272,2902.721754,5523.733621,5712.968864,5663.8058,5886.142437,5885.341359,5625.434322,5636.374544,5855.190698,6138.076128,5996.115829,6483.448643,6416.03816,6084.240163,4440.386937,5713.514252,5800.313624,5330.191431,5871.37757,5936.946726,5161.728945,4161.296736,3368.964813,2610.512907,2193.629598,2333.741459,2410.183353,2404.457195,2492.66539
Non-Annex_I,Middle_East,ARE,United Arab Emirates,GWP_100_AR5_GHG,29772.72471,35818.42416,39481.94459,50687.40842,52212.7106,53081.22955,64346.5867,65392.84233,70912.59469,56386.01677,58818.56691,53927.97409,51923.38208,49799.31951,63011.6672,65147.51564,65140.59464,68730.05753,68144.86605,77133.19524,79503.6724,87887.21719,87420.939,94052.92029,98940.66377,103984.5247,109083.857,110869.2886,111937.1923,114688.5592,117226.0217,129743.4671,131314.4185,139410.55,146051.8083,155519.2329,162324.9821,172835.8058,200391.4181,201499.3131,209693.2599,217382.0015,226717.274,238577.4506,242049.7421,254207.2555,262189.4568,254267.2091,238779.5024,251893.8279,249749.036,255352.4567,255592.7296,254307.3207,264148.3737
Non-Annex_I,Rest South America,ARG,Argentina,GWP_100_AR5_GHG,219213.9045,222456.6352,229451.6306,237342.4872,237657.7585,238173.0485,246594.6982,257135.1709,249825.1897,255679.8858,251055.8969,245253.2659,242025.2575,248114.4941,249341.0539,240937.348,246741.4644,250855.4636,259326.6414,258510.7595,253065.2215,256909.8522,258914.6812,260777.4271,266299.3207,269119.8344,276373.8221,281285.6871,285170.668,291770.164,288445.3274,285500.6966,284541.3354,305899.4966,324653.2995,329384.5676,342681.527,354363.0579,357015.8973,333452.1471,337310.5095,343825.4965,351325.1616,360023.6821,359812.7063,366040.8142,369182.7211,372696.4274,372510.5146,369602.0029,354158.2723,371318.1803,383535.3557,377674.5446,374344.6068
Non-Annex_I,Russia +,ARM,Armenia,GWP_100_AR5_GHG,12659.9628,12821.22557,13627.03163,14656.71555,15676.47087,16932.56062,17368.68945,17966.63558,18653.52346,19305.24715,20424.29599,20861.25925,21444.29795,21510.31991,21555.06457,21612.98315,21844.7871,22096.89303,22025.99206,21634.01434,24306.83233,24869.45884,14019.90114,7678.563372,5280.922599,5960.355588,5001.173987,5702.818898,5726.642568,5352.758437,5862.476706,5998.379442,5547.187325,5993.965423,6477.898762,7220.031809,7189.261833,8134.378985,8611.374115,7339.596318,7071.442679,7698.036892,8567.642895,8611.069595,8968.495659,8896.528331,8731.313057,8935.327464,9079.548444,9560.277618,10281.77647,10908.03482,11221.54529,10725.98057,10780.57528
Non-Annex_I,Oceania,ASM,American Samoa,GWP_100_AR5_GHG,6.119554731,6.086490401,6.094596879,6.138450884,6.182088664,6.22850886,6.270589952,6.423714983,6.387314299,6.345575211,6.38739777,6.522928578,6.828113589,7.133097018,7.432293039,7.648353671,7.829801523,8.04921049,8.226712299,8.483446242,7.339119767,7.420367313,7.502930844,7.583405699,7.658762006,7.735269001,7.801313848,7.868845821,7.944890109,8.00996655,8.066865341,8.787143362,8.836389015,8.893592454,8.870897798,8.856309696,8.836482172,8.825201981,8.763114793,8.733144657,8.717425513,8.721231132,8.712223298,8.727740254,8.750225029,8.771423486,8.776776334,8.785491175,8.780236243,8.789719417,8.829870651,8.861340234,8.85858728,8.868521288,8.880194053
Non-Annex_I,Rest Central America,ATG,Antigua and Barbuda,GWP_100_AR5_GHG,158.7069835,165.1926782,186.2256267,187.8043628,173.7539796,198.3418705,186.3609399,200.3013368,205.2871005,210.7265359,214.1356806,197.4583572,231.368966,167.9923271,187.4022209,191.6151493,197.5630461,233.0385643,244.5922833,244.3100625,246.6203299,248.2550181,249.9584574,247.0837334,263.7473375,272.7936051,271.2897897,283.1196314,288.6995528,292.2315309,225.4241617,222.876346,240.7030941,255.0857384,258.7579926,265.1915252,288.696552,307.0001638,322.7411579,357.3682125,347.3874425,279.6821404,293.9870326,327.3660591,347.7455583,359.297342,384.1601636,346.1337804,355.6909191,409.9074724,393.1034417,399.0723242,411.1953453,415.0831118,426.8509984
Annex_I,Oceania,AUS,Australia,GWP_100_AR5_GHG,315670.4776,321952.8769,334109.0075,341393.2689,355862.7745,365187.9916,368281.1678,374811.6606,365742.0513,369749.7137,376854.6327,380096.0554,388588.0229,376047.1672,390326.4169,403357.0857,408614.019,419115.9163,429709.1687,451010.2886,460699.9112,463507.6775,465523.6134,470059.8241,474146.0563,482243.936,495314.3152,508107.9134,529156.8628,535808.5052,545708.1563,555246.9894,564952.2899,553808.6433,575645.8189,577228.3024,584428.8393,592235.3105,590422.7159,597631.7331,598752.5371,610735.0003,614851.0616,604924.9664,597200.2503,600750.1598,595968.1248,612942.5235,608065.6138,605153.9774,579547.4495,576189.057,571780.759,587513.1026,591453.9607
Annex_I,OECD_Europe,AUT,Austria,GWP_100_AR5_GHG,71600.92943,74756.62965,76959.56629,80722.51291,78484.30076,75959.94164,81413.28382,78809.7759,80822.17383,83513.60326,81639.10164,77963.74262,75794.62663,75668.01687,78136.38418,79520.47011,77951.59648,78109.78826,76930.74319,76216.18846,80177.47315,84425.63766,78958.63026,78957.07374,79396.01993,82278.5837,86278.72941,85490.6496,85618.57468,83558.17603,83681.44706,88575.86577,90362.86515,95153.16079,95934.27335,96426.70709,93988.55926,91004.8224,90597.59013,82997.00659,89121.04997,87329.95858,83977.44465,84490.32715,80820.63687,82261.71289,82700.769,84857.67391,81792.60823,83134.22792,76972.65622,80078.09389,76079.22329,71596.34239,70999.90351
Non-Annex_I,Russia +,AZE,Azerbaijan,GWP_100_AR5_GHG,32540.80866,32882.04864,34727.28369,37141.71705,39594.69892,42361.05317,43477.24173,44804.30093,46928.43906,48480.6082,50646.92588,51895.7847,52777.35882,53806.05477,54731.39159,55577.24798,56645.98189,57721.87286,57533.39987,57607.42015,67673.39457,65863.29178,55329.23546,49015.30476,43498.25319,42671.10844,37268.97945,36555.21083,36984.5829,37961.56908,39687.7718,39027.72293,38874.51576,41690.14069,41665.36872,44539.41647,46218.14976,46628.333,51141.85443,45504.91869,44485.02821,46923.78669,50028.5973,51262.49554,53094.15132,52971.48842,52698.74434,52425.93985,53136.45541,55943.29638,54333.82336,56596.08685,59236.25954,60991.8237,58279.78532
Non-Annex_I,Eastern_Africa,BDI,Burundi,GWP_100_AR5_GHG,2120.808597,2115.586634,2212.697532,2266.45521,2288.316555,2371.218826,2384.794633,2396.062002,2428.499603,2504.590709,2263.593112,2063.615928,2108.090954,2148.986924,2227.943523,2181.870958,2367.567811,2399.794587,2536.932369,2570.794413,3046.47378,3179.523819,3134.018693,3187.549854,3162.476674,3286.267272,3393.107691,3445.779639,3426.353842,2986.33605,3051.811752,3034.128779,3002.957196,3043.638759,3195.369879,3310.225324,3514.883777,3786.31138,3771.340087,4009.70862,4363.100427,4633.921095,4631.059979,5750.49801,5703.84261,5691.153207,6025.865901,6713.538954,7017.279317,6757.385667,6761.679317,7904.715388,7709.86071,8187.161724,8421.72401
Annex_I,OECD_Europe,BEL,Belgium,GWP_100_AR5_GHG,167270.014,157672.6736,169169.4107,174986.9159,175310.4278,155874.9487,165278.9796,163973.867,168235.2699,177540.1609,166853.7663,155208.2618,146896.3106,137596.2192,141699.0421,139148.385,138853.9506,137937.3237,138329.3472,139197.9664,140572.7976,144631.6379,142364.4848,140415.2836,147695.6857,148707.131,154244.9283,150686.0817,154409.2303,150479.8681,151906.5942,152158.283,144524.627,148304.7224,147119.6645,143915.4809,140468.9293,137895.0115,139585.5403,132052.1679,140495.0056,129905.0118,128058.8538,129231.4693,122512.0316,127192.4143,126103.1205,124080.5771,124696.7165,124392.6119,115672.1225,119521.4178,111988.3824,107226.2636,107824.0202
