,type,C_level
129,"Access to facilities,Resource push",C4
65,"Advice and services,Resource push",C4
60,"Antidumping and countervailing,Trade policies",C4
335,"Awards,Knowledge management",C4
348,"Awards,Knowledge management,Networking and sharing,Knowledge management",C4
112,"Ban of coal boilers,Regulations",C1
10,"Ban of gas boilers,Regulations",C1
69,"Ban of oil boilers,Regulations",C1
113,"Ban of oil boilers,Regulations,Ban of coal boilers,Regulations",C1
111,"Ban of oil boilers,Regulations,Ban of gas boilers,Regulations,Ban of coal boilers,Regulations",C1
68,"Ban of oil boilers,Regulations,Building energy codes for new buildings,Regulations,Ban of gas boilers,Regulations,Ban of coal boilers,Regulations",C1
7,"Biofuel blending mandate,Regulations",C1
84,"Building energy codes for new buildings,Regulations",C2
0,"Carbon pricing instruments,Regulations",C2
352,"Decent jobs,,Skills and training,,Social dialogue,,Socioeconomic development,,Universal energy access,",C4
384,"Decent jobs,,Skills and training,,Social dialogue,,Socioeconomic development,,Universal energy access,,Youth in decision process,",C4
244,"Decent jobs,,Skills and training,,Socioeconomic development,,Universal energy access,",C4
219,"Decent jobs,,Skills and training,,Universal energy access,",C4
268,"Decent jobs,,Skills and training,,Universal energy access,,Energy security and resilience,",C4
332,"Decent jobs,,Skills and training,,Universal energy access,,Fair distribution of benefits,",C4
184,"Decent jobs,,Skills and training,,Universal energy access,,Gender inclusion,",C4
387,"Decent jobs,,Skills and training,,Universal energy access,,Gender inclusion,,Youth in decision process,",C4
383,"Decent jobs,,Social dialogue,,Socioeconomic development,,Universal energy access,",C4
353,"Decent jobs,,Social dialogue,,Universal energy access,,Energy security and resilience,",C4
291,"Decent jobs,,Socioeconomic development,,Universal energy access,",C4
312,"Decent jobs,,Socioeconomic development,,Universal energy access,,Energy security and resilience,",C4
267,"Decent jobs,,Socioeconomic development,,Universal energy access,,Energy security and resilience,,Gender inclusion,",C4
330,"Decent jobs,,Socioeconomic development,,Universal energy access,,International collaboration,",C4
301,"Decent jobs,,Universal energy access,,Energy security and resilience,",C4
306,"Decent jobs,,Universal energy access,,Energy security and resilience,,Youth in decision process,",C4
180,"Due diligence obligations,Regulations",C2
64,"Education and training,Resource push",C4
457,"Education and training,Resource push,Awards,Knowledge management",C4
119,"Emissions estimates and quantification,Information",C4
19,"Emissions trading schemes and certified reduction credits,Incentives and investments",C4
429,"Emissions trading schemes and certified reduction credits,Incentives and investments,Carbon pricing instruments,Regulations",C2
401,"Energy security and resilience,",C4
253,"Energy security and resilience,,Fair distribution of benefits,",C4
385,"Energy security and resilience,,Fair distribution of benefits,,Public participation,",C4
260,"Energy security and resilience,,Public participation,",C4
377,"Environmental impact assessment,Regulations",C2
105,"Environmental standards,Regulations",C2
182,"Environmental standards,Regulations,Due diligence obligations,Regulations,Permitting regimes,Regulations",C2
423,"Environmental standards,Regulations,Inclusivity and gender policies,Regulations",C2
132,"Environmental standards,Regulations,Permitting regimes,Regulations",C2
145,"Environmental standards,Regulations,Transparency norms,Regulations",C2
15,"Export ban,Trade policies",C1
120,"Export ban,Trade policies,Other trade policies,Trade policies",C1
58,"Export controls and restrictions,Trade policies",C1
73,"Export controls and restrictions,Trade policies,Import controls and restrictions,Trade policies",C1
63,"F-gas regulations,Regulations",C2
179,"FDI - entry & ownership,Trade policies",C4
28,"FDI - investment rules,Trade policies",C4
62,"Facility or company emissions standards,Regulations",C2
364,"Facility or company emissions standards,Regulations,Emissions trading schemes and certified reduction credits,Incentives and investments",C2
345,"Facility or company emissions standards,Regulations,Emissions trading schemes and certified reduction credits,Incentives and investments,Emissions estimates and quantification,Information,Carbon pricing instruments,Regulations",C2
375,"Facility or company emissions standards,Regulations,Reporting requirements,Information,Emissions estimates and quantification,Information",C2
395,"Facility or company emissions standards,Regulations,Reporting requirements,Information,Framework legislation,Framework legislation",C2
358,"Facility or company emissions standards,Regulations,Taxes or charges on emissions,Incentives and investments,Loans, grants and other financial incentives,Incentives and investments,Reporting requirements,Information,Framework legislation,Framework legislation",C2
426,"Facility or company emissions standards,Regulations,Taxes or charges on emissions,Incentives and investments,Reporting requirements,Information",C2
123,"Feed-in tariffs/premiums,Incentives and investments",C4
189,"Finance,Resource push",C4
466,"Finance,Resource push,Access to facilities,Resource push",C4
51,"Financing,Incentives and investments",C4
106,"Financing,Incentives and investments,Environmental standards,Regulations",C2
167,"Financing,Incentives and investments,Geological surveys,Incentives and investments,Environmental standards,Regulations,Innovation funds,Incentives and investments",C2
203,"Financing,Incentives and investments,Government spending in carbon capture, use and storage,Incentives and investments,Innovation funds,Incentives and investments",C4
31,"Financing,Incentives and investments,Government spending in hydrogen,Incentives and investments,Tax incentives,Resource push",C2
191,"Financing,Incentives and investments,Inclusivity and gender policies,Regulations",C2
87,"Financing,Incentives and investments,Innovation funds,Incentives and investments",C4
81,"Financing,Incentives and investments,Recycling support,Incentives and investments,Due diligence obligations,Regulations,Innovation funds,Incentives and investments",C2
226,"Financing,Incentives and investments,Recycling support,Incentives and investments,Government spending  in storage,Incentives and investments,Innovation funds,Incentives and investments",C4
388,"Financing,Incentives and investments,Recycling support,Incentives and investments,Government spending in carbon capture, use and storage,Incentives and investments,Government spending in hydrogen,Incentives and investments,Innovation funds,Incentives and investments",C4
168,"Financing,Incentives and investments,Recycling support,Incentives and investments,Inclusivity and gender policies,Regulations,Innovation funds,Incentives and investments",C2
