iso_alpha_3,year,cap_liberal_democracy_idx,cap_corruption_idx,cap_control_corruption,cap_govt_effectiveness,cap_political_stability,cap_regulatory_quality,cap_voice_accountability,con_ndgain_score,con_ndgain_vulnerability,con_renewables_share_elec_pct,inc_has_carbon_tax,inc_has_framework_law,inc_has_renewable_target,x_log_signed_con_coal,x_log_signed_con_hydro,x_log_signed_con_edgar_ghg_mt,x_log_signed_con_demand,x_log_signed_con_primary_energy_twh,x_log_signed_con_other_fossil,x_log_signed_con_demand_per_capita,x_log_signed_con_energy_per_capita_kwh,x_log_signed_cap_gdp_per_capita_ppp_current,x_log_signed_inc_carbon_pricing_coverage,x_log_signed_con_electricity_access_pct,em_lag_1y
AFG,2003,0.086,0.919,-1.34417974948883,-1.17576801776886,-2.19837236404419,-1.46310782432556,-1.1775711774826,35.5420415419219,0.59345123684489,69.231,0.0,0.0,0.0,2.387844936944869,0.173953307123438,3.310673112836601,0.6981347220709844,1.6030173446311777,0.039220713153281295,0.039220713153281295,5.167969472638488,6.875192863424461,0.0,2.995732273553991,3.2874526292921082
AFG,2004,0.091,0.931,-1.35064733028412,-0.945146262645721,-2.29568219184875,-1.51154899597168,-1.20303392410278,35.4097697721394,0.595817105304166,70.886,0.0,0.0,0.0,2.150598735996164,0.173953307123438,3.3156153923945797,0.636576829071551,1.5511730043021246,0.04879016416943201,0.039220713153281295,5.067381030203869,6.880007344267898,0.0,3.2108436531709366,3.310673112836601
AFG,2005,0.113,0.942,-1.44725239276886,-1.2288156747818,-2.06750988960266,-1.64344024658203,-1.12542963027954,32.0981979446875,0.602123845251527,71.951,0.0,0.0,0.0,2.1186622548331173,0.173953307123438,3.321104312247349,0.6523251860396903,1.7940900845663372,0.04879016416943201,0.039220713153281295,5.330145436712589,6.982015781210643,0.0,3.391147045808654,3.3156153923945797
AFG,2006,0.199,0.955,-1.44629228115082,-1.47365152835846,-2.21913456916809,-1.68946862220764,-1.11029398441315,30.5904862286104,0.604628709316117,71.111,0.0,0.0,0.0,2.871868286331605,0.18232155679395462,3.3280709135573328,0.8458682675776092,2.0190278351192146,0.04879016416943201,0.04879016416943201,5.552443948127844,7.0236115447445515,0.0,3.5409593240373143,3.321104312247349
AFG,2007,0.2,0.957,-1.61325109004974,-1.44011056423187,-2.4133734703064,-1.70887231826782,-1.05765390396118,30.1639516686315,0.600051012497378,74.257,0.0,0.0,0.0,2.7631695003232895,0.18232155679395462,3.3692816945504274,0.9631743177730056,2.1699675683792066,0.04879016416943201,0.058268908123975775,5.705228095908768,7.160806964234275,0.0,3.673765816303888,3.3280709135573328
AFG,2008,0.202,0.957,-1.67209553718567,-1.52779507637024,-2.69136095046997,-1.60716688632965,-1.16890180110931,29.8777643980503,0.599393182526088,69.231,0.0,0.0,0.0,2.871868286331605,0.1906203596086497,3.478343341886547,0.9282193027394289,2.7750856024383683,0.058268908123975775,0.058268908123975775,6.343743342128598,7.196497239518277,0.0,3.770459441106359,3.3692816945504274
AFG,2009,0.198,0.957,-1.55229878425598,-1.50775218009949,-2.71142148971558,-1.66450762748718,-1.37549519538879,30.2536360442018,0.599693542389519,87.64,0.0,0.0,0.0,2.046401687601636,0.1906203596086497,3.5669519662304268,1.1118575154181303,3.2679707045119186,0.12221763272424921,0.06765864847381481,6.8250386662753755,7.359911934945105,0.0,3.8979240810486444,3.478343341886547
AFG,2010,0.196,0.958,-1.64539110660553,-1.47831559181213,-2.57915186882019,-1.51652824878693,-1.40446734428406,30.5109470299072,0.583799555533243,85.227,0.0,0.0,0.0,2.05668455455722,0.2151113796169455,3.6715942016694028,1.3217558399823195,3.50387429969078,0.15700374880966475,0.09531017980432487,7.039648956282708,7.476776994054693,0.0,3.7773481021015445,3.5669519662304268
AFG,2011,0.199,0.958,-1.60047078132629,-1.47410047054291,-2.50205969810486,-1.53632390499115,-1.33597695827484,29.8264582001116,0.59053916243912,77.922,0.0,1.0,0.0,2.63834278867739,0.2151113796169455,3.7714913340439025,1.5040773967762742,3.7469360755557455,0.20701416938432615,0.11332868530700317,7.252320394029352,7.464544575130823,0.0,3.7887247890836524,3.6715942016694028
AFG,2012,0.2,0.961,-1.43037283420563,-1.37553513050079,-2.41856145858765,-1.19257974624634,-1.26743006706238,30.8188271328623,0.58448305398306,84.091,0.0,1.0,0.0,2.191653532286764,0.23901690047049992,3.7209919885661242,1.599387576580599,3.689404316349652,0.2151113796169455,0.12221763272424921,7.152948343218098,7.595603094586474,0.0,4.249922794040544,3.7714913340439025
AFG,2013,0.202,0.941,-1.44596064090729,-1.40146291255951,-2.51934909820557,-1.19309020042419,-1.24013912677765,30.6525351705406,0.589309821840208,80.18,0.0,0.0,0.0,2.468946630209271,0.2468600779315258,3.6807954719251366,1.7457155307266483,3.4925299643353385,0.2151113796169455,0.13976194237515868,6.916513810815995,7.665866485914368,0.0,4.23410650459726,3.7209919885661242
AFG,2014,0.201,0.927,-1.36493408679962,-1.36164617538452,-2.41106843948364,-1.12413370609283,-1.13552260398865,31.5441618304546,0.587004201260283,86.207,0.0,1.0,1.0,2.349468678892896,0.2468600779315258,3.6863898082920707,1.769854633840005,3.318902138935325,0.2151113796169455,0.13976194237515868,6.700831965470291,7.707732731247605,0.0,4.505349850705881,3.6807954719251366
AFG,2015,0.204,0.904,-1.35471308231354,-1.39739489555359,-2.56262516975403,-1.0188262462616,-1.11762809753418,31.7959605052784,0.583232874822956,87.288,0.0,1.0,1.0,2.248128907197987,0.2468600779315258,3.6798156167680593,1.7850704810772584,3.4642973686053797,0.2151113796169455,0.13976194237515868,6.819934483592708,7.734154496603875,0.0,4.283586561860629,3.6863898082920707
