iso_alpha_3,meets_ndc,n_futures
AFG,0.59,1000
AGO,0.0,1000
ALB,1.0,1000
ARE,0.003,1000
ARG,0.004,1000
ARM,0.465,1000
ATG,0.458,1000
AUS,0.146,1000
AZE,0.424,1000
BEN,0.749,1000
BFA,0.998,1000
BGD,0.244,1000
BHR,0.275,1000
BIH,0.226,1000
BLR,0.263,1000
BOL,0.0,1000
BRA,0.0,1000
BRB,0.437,1000
BRN,0.989,1000
BWA,0.0,1000
CAN,0.013,1000
CHE,0.0,1000
CHL,0.192,1000
CHN,0.379,1000
CIV,0.0,1000
COD,0.282,1000
COL,0.0,1000
CPV,0.664,1000
CRI,0.759,1000
CUB,0.816,1000
DOM,0.074,1000
DZA,0.007,1000
ECU,0.069,1000
EGY,0.15,1000
ERI,0.947,1000
ETH,0.0,1000
FJI,0.0,1000
GBR,0.0,1000
GEO,0.953,1000
GHA,1.0,1000
GIN,0.006,1000
GMB,0.281,1000
GNB,0.701,1000
GNQ,0.059,1000
GUY,0.108,1000
HND,0.093,1000
HTI,0.765,1000
IDN,0.907,1000
IND,1.0,1000
IRN,0.105,1000
IRQ,0.81,1000
ISL,0.873,1000
ISR,0.0,1000
JAM,0.615,1000
JOR,0.185,1000
JPN,0.0,1000
KAZ,0.0,1000
KEN,0.802,1000
KGZ,0.0,1000
KHM,0.822,1000
KIR,0.28,1000
KOR,0.307,1000
KWT,0.724,1000
LAO,0.018,1000
LBN,0.145,1000
LBY,0.163,1000
LCA,0.484,1000
LKA,0.914,1000
LSO,0.909,1000
MAR,0.0,1000
MDA,0.0,1000
MDG,0.0,1000
MDV,0.842,1000
MEX,0.702,1000
MKD,0.0,1000
MMR,0.341,1000
MOZ,0.235,1000
MRT,0.041,1000
MUS,0.061,1000
MWI,0.645,1000
MYS,0.0,1000
NGA,0.508,1000
NIC,1.0,1000
NOR,0.345,1000
NPL,0.072,1000
NZL,0.0,1000
OMN,0.169,1000
PAK,1.0,1000
PER,0.062,1000
PHL,0.0,1000
PLW,0.427,1000
PRK,0.75,1000
PRY,0.192,1000
QAT,0.033,1000
RUS,0.852,1000
SAU,0.147,1000
SDN,0.43,1000
SEN,0.0,1000
SGP,0.446,1000
SLB,0.0,1000
SLE,0.302,1000
SLV,0.005,1000
SOM,0.876,1000
SUR,0.0,1000
SYC,0.431,1000
SYR,0.818,1000
TCD,0.0,1000
TGO,0.91,1000
THA,0.196,1000
TJK,0.077,1000
TKM,0.037,1000
TTO,0.462,1000
TUN,0.001,1000
TUR,1.0,1000
TZA,0.0,1000
UGA,1.0,1000
UKR,0.519,1000
URY,0.774,1000
USA,0.0,1000
UZB,0.999,1000
VCT,0.508,1000
VNM,0.976,1000
YEM,0.833,1000
ZAF,0.002,1000
ZMB,0.0,1000
ZWE,0.44,1000
