iso_alpha_3,meets_ndc,n_futures
AFG,0.628,1000
AGO,0.0,1000
ALB,1.0,1000
ARE,0.003,1000
ARG,0.004,1000
ARM,0.302,1000
ATG,0.458,1000
AUS,0.146,1000
AZE,0.337,1000
BEN,0.749,1000
BFA,1.0,1000
BGD,0.371,1000
BHR,0.275,1000
BIH,0.624,1000
BLR,0.282,1000
BOL,0.0,1000
BRA,0.0,1000
BRB,0.45,1000
BRN,0.989,1000
BWA,0.0,1000
CAN,0.013,1000
CHE,0.0,1000
CHL,0.192,1000
CHN,0.379,1000
CIV,0.986,1000
COD,0.373,1000
COL,0.0,1000
CPV,0.664,1000
CRI,0.759,1000
CUB,0.816,1000
DOM,0.829,1000
DZA,0.183,1000
ECU,0.069,1000
EGY,0.234,1000
ERI,0.957,1000
ETH,0.731,1000
FJI,0.0,1000
GBR,0.0,1000
GEO,1.0,1000
GHA,1.0,1000
GIN,0.015,1000
GMB,0.501,1000
GNB,0.809,1000
GNQ,0.145,1000
GUY,0.108,1000
HND,0.309,1000
HTI,0.889,1000
IDN,1.0,1000
IND,0.935,1000
IRN,0.105,1000
IRQ,0.81,1000
ISL,0.873,1000
ISR,0.0,1000
JAM,0.635,1000
JOR,0.724,1000
JPN,0.0,1000
KAZ,0.086,1000
KEN,1.0,1000
KGZ,0.023,1000
KHM,1.0,1000
KIR,0.28,1000
KOR,0.307,1000
KWT,0.724,1000
LAO,0.018,1000
LBN,0.239,1000
LBY,0.163,1000
LCA,0.484,1000
LKA,0.934,1000
LSO,1.0,1000
MAR,0.998,1000
MDA,0.843,1000
MDG,0.0,1000
MDV,0.995,1000
MEX,0.769,1000
MKD,0.41,1000
MMR,0.374,1000
MOZ,0.008,1000
MRT,0.227,1000
MUS,0.174,1000
MWI,0.708,1000
MYS,0.0,1000
NGA,0.66,1000
NIC,1.0,1000
NOR,0.345,1000
NPL,0.072,1000
NZL,0.0,1000
OMN,0.561,1000
PAK,1.0,1000
PER,0.564,1000
PHL,1.0,1000
PLW,0.874,1000
PRK,0.914,1000
PRY,0.232,1000
QAT,0.308,1000
RUS,0.852,1000
SAU,0.147,1000
SDN,0.662,1000
SEN,0.0,1000
SGP,0.446,1000
SLB,0.0,1000
SLE,0.401,1000
SLV,0.011,1000
SOM,0.957,1000
SUR,0.0,1000
SYC,0.59,1000
SYR,0.818,1000
TCD,0.004,1000
TGO,1.0,1000
THA,0.251,1000
TJK,0.408,1000
TKM,0.037,1000
TTO,0.48,1000
TUN,0.276,1000
TUR,1.0,1000
TZA,0.319,1000
UGA,1.0,1000
UKR,0.303,1000
URY,0.928,1000
USA,0.0,1000
UZB,0.201,1000
VCT,0.508,1000
VNM,1.0,1000
YEM,0.833,1000
ZAF,0.042,1000
ZMB,0.0,1000
ZWE,0.662,1000
