iso_alpha_3,meets_ndc,n_futures
AFG,0.842,1000
AGO,0.0,1000
ALB,0.995,1000
ARE,0.028,1000
ARG,0.165,1000
ARM,0.458,1000
ATG,0.44,1000
AUS,0.006,1000
AZE,0.225,1000
BEN,0.87,1000
BFA,0.997,1000
BGD,0.637,1000
BHR,0.146,1000
BIH,0.287,1000
BLR,0.222,1000
BOL,0.0,1000
BRA,0.16,1000
BRB,0.023,1000
BRN,1.0,1000
BWA,0.0,1000
CAN,0.0,1000
CHE,0.001,1000
CHL,0.083,1000
CHN,0.878,1000
CIV,0.0,1000
COD,0.482,1000
COL,0.054,1000
CPV,0.157,1000
CRI,0.485,1000
CUB,0.573,1000
DOM,0.151,1000
DZA,0.134,1000
ECU,0.221,1000
EGY,0.116,1000
ERI,0.825,1000
ETH,0.0,1000
FJI,0.0,1000
GBR,0.007,1000
GEO,0.726,1000
GHA,0.99,1000
GIN,0.289,1000
GMB,0.607,1000
GNB,0.993,1000
GNQ,0.093,1000
GUY,0.04,1000
HND,0.366,1000
HTI,0.683,1000
IDN,0.726,1000
IND,0.967,1000
IRN,0.229,1000
IRQ,0.814,1000
ISL,0.975,1000
ISR,0.005,1000
JAM,0.481,1000
JOR,0.147,1000
JPN,0.002,1000
KAZ,0.122,1000
KEN,0.927,1000
KGZ,0.134,1000
KHM,0.898,1000
KIR,0.528,1000
KOR,0.033,1000
KWT,0.696,1000
LAO,0.482,1000
LBN,0.564,1000
LBY,0.044,1000
LCA,0.471,1000
LKA,0.994,1000
LSO,0.797,1000
MAR,0.159,1000
MDA,0.0,1000
MDG,0.0,1000
MDV,0.035,1000
MEX,0.202,1000
MKD,0.158,1000
MMR,0.0,1000
MOZ,0.029,1000
MRT,0.0,1000
MUS,0.005,1000
MWI,0.441,1000
MYS,0.453,1000
NGA,0.072,1000
NIC,1.0,1000
NOR,0.078,1000
NPL,0.049,1000
NZL,0.007,1000
OMN,0.22,1000
PAK,0.91,1000
PER,0.091,1000
PHL,0.003,1000
PLW,0.006,1000
PRK,0.561,1000
PRY,0.037,1000
QAT,0.064,1000
RUS,0.985,1000
SAU,0.318,1000
SDN,0.476,1000
SEN,0.051,1000
SGP,0.098,1000
SLB,0.0,1000
SLE,0.292,1000
SLV,0.22,1000
SOM,1.0,1000
SUR,0.036,1000
SYC,0.332,1000
SYR,0.634,1000
TCD,0.0,1000
TGO,0.165,1000
THA,0.083,1000
TJK,0.086,1000
TKM,0.316,1000
TTO,0.375,1000
TUN,0.006,1000
TUR,0.985,1000
TZA,0.536,1000
UGA,0.998,1000
UKR,0.991,1000
URY,0.691,1000
USA,0.0,1000
UZB,0.989,1000
VCT,0.687,1000
VNM,0.843,1000
YEM,0.573,1000
ZAF,0.054,1000
ZMB,0.005,1000
ZWE,0.003,1000
