iso_alpha_3,meets_ndc,n_futures
AFG,0.915,1000
AGO,0.0,1000
ALB,0.995,1000
ARE,0.028,1000
ARG,0.165,1000
ARM,0.353,1000
ATG,0.44,1000
AUS,0.006,1000
AZE,0.192,1000
BEN,0.87,1000
BFA,1.0,1000
BGD,0.784,1000
BHR,0.146,1000
BIH,0.372,1000
BLR,0.364,1000
BOL,0.0,1000
BRA,0.16,1000
BRB,0.049,1000
BRN,1.0,1000
BWA,0.001,1000
CAN,0.0,1000
CHE,0.001,1000
CHL,0.083,1000
CHN,0.878,1000
CIV,0.234,1000
COD,0.655,1000
COL,0.054,1000
CPV,0.157,1000
CRI,0.485,1000
CUB,0.573,1000
DOM,0.504,1000
DZA,0.39,1000
ECU,0.221,1000
EGY,0.346,1000
ERI,0.869,1000
ETH,1.0,1000
FJI,0.0,1000
GBR,0.007,1000
GEO,0.988,1000
GHA,1.0,1000
GIN,0.35,1000
GMB,0.981,1000
GNB,1.0,1000
GNQ,0.418,1000
GUY,0.04,1000
HND,0.472,1000
HTI,0.943,1000
IDN,0.941,1000
IND,0.788,1000
IRN,0.229,1000
IRQ,0.814,1000
ISL,0.975,1000
ISR,0.005,1000
JAM,0.524,1000
JOR,0.396,1000
JPN,0.002,1000
KAZ,0.246,1000
KEN,1.0,1000
KGZ,0.297,1000
KHM,1.0,1000
KIR,0.528,1000
KOR,0.033,1000
KWT,0.696,1000
LAO,0.482,1000
LBN,0.83,1000
LBY,0.044,1000
LCA,0.471,1000
LKA,0.999,1000
LSO,0.999,1000
MAR,0.83,1000
MDA,0.467,1000
MDG,0.0,1000
MDV,0.248,1000
MEX,0.327,1000
MKD,0.731,1000
MMR,0.0,1000
MOZ,0.009,1000
MRT,0.37,1000
MUS,0.224,1000
MWI,0.663,1000
MYS,0.453,1000
NGA,0.373,1000
NIC,1.0,1000
NOR,0.078,1000
NPL,0.049,1000
NZL,0.007,1000
OMN,0.722,1000
PAK,1.0,1000
PER,0.35,1000
PHL,0.625,1000
PLW,0.717,1000
PRK,0.844,1000
PRY,0.225,1000
QAT,0.49,1000
RUS,0.985,1000
SAU,0.318,1000
SDN,0.96,1000
SEN,0.211,1000
SGP,0.098,1000
SLB,0.0,1000
SLE,0.369,1000
SLV,0.23,1000
SOM,1.0,1000
SUR,0.036,1000
SYC,0.488,1000
SYR,0.634,1000
TCD,0.018,1000
TGO,0.694,1000
THA,0.163,1000
TJK,0.176,1000
TKM,0.316,1000
TTO,0.497,1000
TUN,0.261,1000
TUR,1.0,1000
TZA,0.996,1000
UGA,1.0,1000
UKR,0.805,1000
URY,0.835,1000
USA,0.0,1000
UZB,0.268,1000
VCT,0.687,1000
VNM,1.0,1000
YEM,0.573,1000
ZAF,0.146,1000
ZMB,0.073,1000
ZWE,0.067,1000
