iso_alpha_3,n_futures,meets_ndc_unconditional_target,meets_ndc_conditional_target,region,2020_edgar_ghg_mt,unconditional_target,conditional_target,2030_q1_mean_value
BOL,984,0,0,Bolivia,53.9488678,35.77981427,35.77981427,63.00425675
BRA,991,0,0,Brazil,1277.689379,1037.36714,1037.36714,1217.943167
BRB,994,0,0,Barbados,0.919582806,0.289365875,0.144682937,0.732017407
BWA,981,0,0,Botswana,10.58685813,4.453492929,3.649117554,11.6658572
CAF,985,0,0,Central African Republic,12.85819892,3.610430565,3.10126728,10.25094671
CAN,996,0,0,Canada,711.4686388,416.5641887,416.5641887,671.1365453
CMR,990,0,0,Cameroon,43.53423305,35.91171056,26.83402817,47.43074616
COM,994,0,0,Comoros,0.866655423,-1.987039693,-2.751285728,1.182330032
CZE,987,0,0,Czechia,117.4919997,68.22020302,68.22020302,107.5520748
DEU,988,0,0,Germany,751.338964,545.2244456,545.2244456,657.6974869
DNK,991,0,0,Denmark,44.05400652,22.78469063,22.78469063,37.61294168
DZA,993,0,0,Algeria,265.2117262,280.2626901,234.443972,387.0129568
ECU,984,0,0,Ecuador,65.79889011,62.17703188,62.17703188,77.28866958
ESP,993,0,0,Spain,291.9032341,218.6115656,218.6115656,244.4820966
FIN,984,0,0,Finland,58.14192498,38.75852694,38.75852694,44.22814306
FJI,997,0,0,Fiji,2.784723926,-2.06035632,-0.34339272,2.220867789
GAB,987,0,0,Gabon,20.01345288,0,0,16.11224783
GBR,991,0,0,United Kingdom,407.9408651,260.9478273,260.9478273,315.4586038
GRC,989,0,0,Greece,71.93346957,42.29456614,42.29456614,52.01436725
GUY,993,0,0,Guyana,7.273784268,6.451751919,6.451751919,8.65175213
ISR,987,0,0,Israel,83.57563566,57.20900487,57.20900487,85.59775854
JPN,1000,0,0,Japan,1161.77542,834.3802237,834.3802237,995.3049455
LBY,986,0,0,Libya,69.47549565,51.49645469,51.49645469,82.89370895
LTU,979,0,0,Lithuania,22.71125743,8.246269013,8.246269013,12.90990075
MDG,989,0,0,Madagascar,35.02942516,1.424903442,-86.91910993,33.28078834
MLI,992,0,0,Mali,45.58683032,-200.6017939,-359.7199159,69.95004324
MMR,987,0,0,Myanmar,163.5066094,88.43931343,66.09446646,155.5002306
NLD,993,0,0,Netherlands,176.8817935,131.3638262,131.3638262,148.9513144
NPL,991,0,0,Nepal,55.48455354,54.97130968,54.97130968,83.1340051
NZL,997,0,0,New Zealand,85.20868198,52.16180913,52.16180913,77.98717317
PER,999,0,0,Peru,89.32034333,102.7741603,88.10620061,113.4882543
POL,995,0,0,Poland,374.3348545,285.040486,285.040486,381.6515426
PRY,994,0,0,Paraguay,43.49144213,41.03772767,36.4582196,51.37255248
ROU,993,0,0,Romania,114.4353383,62.84277448,62.84277448,99.99453322
SEN,993,0,0,Senegal,28.46689447,29.95920793,23.13204259,35.06156651
SLV,987,0,0,El Salvador,11.79327589,11.41238175,11.22217538,16.02124902
SUR,990,0,0,Suriname,3.804974278,2.637458501,2.637458501,4.079724616
SWE,997,0,0,Sweden,62.77517912,8.451396846,8.451396846,55.78185554
TCD,991,0,0,Chad,82.0850609,62.97038001,51.28742736,136.3541963
TJK,997,0,0,Tajikistan,21.19105852,28.02389579,23.74906423,31.47143443
TKM,988,0,0,Turkmenistan,123.4831677,99.03897507,99.03897507,164.4120086
USA,990,0,0,United States of America,5615.567418,3491.49273,3491.49273,5373.594929
ZMB,991,0,0,Zambia,28.9537931,21.74377754,15.29562282,35.70808042
ARG,991,0.002018163,0.002018163,Argentina,359.025664,320.5920306,320.5920306,365.1387589
GIN,983,0.002034588,0,Guinea,27.24003559,22.4070105,21.28003068,31.91468451
NGA,995,0.007035176,0,Nigeria,408.2454657,456.2104332,316.2692845,503.1361474
BLR,993,0.008056395,0,Belarus,100.0606445,88.16559331,81.33912348,95.87088109
CHN,997,0.009027081,0.009027081,China,14879.55651,16164.51354,16164.51354,17018.38912
BDI,997,0.011033099,0,Burundi,7.140930559,7.348251043,6.653146215,8.138922501
CHL,992,0.012096774,0.012096774,Chile,128.9649209,122.2586474,122.2586474,133.7757447
MLT,985,0.03857868,0.03857868,Malta,2.087001897,1.940600348,1.940600348,2.123258213
CYP,983,0.04069176,0.04069176,Cyprus,9.535575125,8.060267124,8.060267124,8.654735547
HUN,995,0.042211055,0.042211055,Hungary,68.09821299,54.16225096,54.16225096,56.22391737
ZWE,971,0.046343975,0,Zimbabwe,28.34156654,18.85874091,11.18018195,22.61646017
TUN,984,0.046747967,0,Tunisia,42.08932769,45.18568645,34.08166132,46.72968183
AUT,988,0.052631579,0.052631579,Austria,78.30591696,69.14400008,69.14400008,70.4545693
KGZ,989,0.061678463,0,Kyrgyzstan,20.33120131,19.71315346,13.24723913,20.30865697
AZE,977,0.073694985,0.073694985,Azerbaijan,63.53125494,66.08884417,66.08884417,67.26746557
MRT,991,0.090817356,0,Mauritania,15.76795793,18.00364443,1.519788166,18.26703278
SVK,990,0.097979798,0.097979798,Slovakia,42.4308912,41.26711242,41.26711242,41.34570617
PAN,989,0.106167846,0.057633974,Panama,16.4644611,16.66081414,15.75204246,16.5650254
MEX,995,0.12160804,0.001005025,Mexico,739.3164833,764.1935774,705.3547052,760.8738387
IRQ,994,0.14889336,0.14889336,Iraq,329.527812,432.1320272,432.1320272,421.0521074
MOZ,979,0.17773238,0.17773238,Mozambique,34.71071952,38.94841799,38.94841799,36.31142492
