iso_alpha_3,n_futures,meets_ndc_unconditional_target,meets_ndc_conditional_target,country,2020_edgar_ghg_mt,unconditional_target,conditional_target,2030_q1_mean_value
AFG,897,0.28762541806020064,0.2463768115942029,Afghanistan,42.9,64.7,57.0,36.94621834173146
AGO,972,0.0,0.0,Angola,133.6,27.7,-1.4,145.80939844784027
ALB,989,1.0,1.0,Albania,9.3,13.4,13.4,5.421332127349784
ARG,987,0.06180344478216818,0.06180344478216818,Argentina,422.0,349.0,349.0,374.1347119550562
ARM,968,0.6621900826446281,0.3367768595041322,Armenia,9.8,15.1,10.6,7.702087324780558
AUT,988,0.06376518218623482,0.06376518218623482,Austria,75.8,56.68436152,56.68436152,58.613436627529325
AZE,982,0.21690427698574338,0.21690427698574338,Azerbaijan,48.8,50.8,50.8,44.95728023684122
BDI,982,0.0,0.0,Burundi,-8.7,-8.9,-8.1,-2.64311813378782
BEL,988,0.058704453441295545,0.058704453441295545,Belgium,115.2,105.4749454,105.4749454,109.984884954236
BEN,968,0.46384297520661155,0.46384297520661155,Benin,13.7,17.6,17.6,10.534459456061104
BFA,981,0.14678899082568808,0.05402650356778797,Burkina Faso,70.3,115.9,102.0,110.29055327714123
BGD,983,0.7507629704984741,0.4547304170905392,Bangladesh,203.1,329.9,276.4,213.3045214056637
BGR,987,0.0,0.0,Bulgaria,43.2,17.46881820155,17.46881820155,44.37977572152842
BLR,976,0.18135245901639344,0.10860655737704918,Belarus,61.2,53.9,49.7,49.43163014693718
BOL,989,0.0020222446916076846,0.0020222446916076846,Bolivia,85.4,56.6,56.6,77.26413432574047
BRA,992,0.08266129032258064,0.08266129032258064,Brazil,1812.7,1471.7,1471.7,1500.3858697227158
BRB,986,0.04158215010141988,0.009127789046653144,Barbados,0.8,0.3,0.1,0.44640623391977324
BTN,938,0.3251599147121535,0.2505330490405117,Bhutan,-8.7,0.7,0.0,-1.6668298856673938
BWA,972,0.00102880658436214,0.0,Botswana,8.1,3.4,2.8,7.93375710445403
CAF,967,0.0,0.0,Central African Republic,-147.8,-41.5,-35.6,-1.1233541920145618
CAN,990,0.0,0.0,Canada,752.5,440.6,440.6,746.3526979420255
CHL,989,0.0010111223458038423,0.0010111223458038423,Chile,70.8,46.7,46.7,65.80462544850263
CHN,988,0.19331983805668015,0.19331983805668015,China,12887.6,13153.4,13153.4,12414.203772352552
CIV,978,0.5848670756646217,0.0,Ivory Coast,87.9,137.7,2.1,90.67445980685987
CMR,982,0.0,0.0,Cameroon,-37.0,-30.5,-22.8,-2.1109292253139658
COL,982,0.0,0.0,Colombia,297.7,169.4,169.4,317.99028830604186
COM,843,0.8600237247924081,0.9217081850533808,Comoros,-1.6,3.6,4.9,-2.972954456016858
CPV,981,0.8124362895005097,0.8124362895005097,Cape Verde,0.8,1.0,1.0,-0.6074452709828502
CRI,985,0.0010152284263959391,0.0010152284263959391,Costa Rica,11.3,9.1,9.1,12.162676351982954
CYP,980,0.22448979591836735,0.22448979591836735,Cyprus,8.3,6.66258514893,6.66258514893,5.769498346775584
CZE,987,0.0,0.0,Czechia,125.7,59.79688819488,59.79688819488,99.20669935937097
DEU,991,0.0,0.0,Germany,816.1,495.70759713,495.70759713,671.7634623356608
DNK,986,0.0,0.0,Denmark,42.7,22.19141734136,22.19141734136,30.263206683831005
DOM,986,0.3711967545638945,0.05476673427991886,Dominican Republic,44.7,53.5,42.0,44.937698765119876
DZA,989,0.024266936299292215,0.0,Algeria,222.5,235.2,196.7,260.54841994495064
ECU,978,0.06748466257668712,0.06748466257668712,Ecuador,84.3,79.6,79.6,85.16426966029583
ESP,990,0.10808080808080808,0.10808080808080808,Spain,232.2,192.34630610321,192.34630610321,191.90275754644637
EST,983,0.1017293997965412,0.1017293997965412,Estonia,16.8,11.56784128,11.56784128,11.76472840524439
ETH,987,0.028368794326241134,0.0,Ethiopia,304.6,348.2,127.1,404.1965182759643
FIN,992,0.0010080645161290322,0.0010080645161290322,Finland,53.4,41.30444508,41.30444508,52.276545919935856
FJI,941,0.028692879914984058,0.153028692879915,Fiji,2.7,-2.0,-0.3,-0.7457375019996766
FRA,977,0.0010235414534288639,0.0010235414534288639,France,362.4,319.67041302775,319.67041302775,359.24881920772356
GAB,879,0.472127417519909,0.472127417519909,Gabon,-88.7,0.0,0.0,-5.676299455230415
GBR,993,0.0,0.0,United Kingdom,414.9,265.4,265.4,353.82791706148186
GEO,984,0.6270325203252033,0.1443089430894309,Georgia,11.6,19.7,14.0,13.37223045776057
GHA,974,1.0,0.9620123203285421,Ghana,52.1,268.5,146.9,64.36149691165389
GIN,974,0.06262833675564682,0.052361396303901436,Guinea,59.9,49.3,46.8,54.674510192617184
GNB,982,0.0,0.0,Guinea Bissau,-13.6,-53.2,-41.7,-1.1886508443095927
GNQ,942,0.39384288747346075,0.17940552016985137,Equatorial Guinea,18.3,18.8,12.5,9.832358728801992
GRC,986,0.8255578093306288,0.8255578093306288,Greece,67.1,41.44672675465,41.44672675465,25.381425612034473
GTM,976,1.0,0.9631147540983607,Guatemala,79.6,129.8,113.7,62.511709811845954
GUY,993,0.0,0.0,Guyana,-133.5,-118.5,-118.5,-1.3774485690208553
HND,977,0.6028659160696008,0.38178096212896623,Honduras,13.0,15.5,13.5,10.974865249975771
HRV,991,0.8536831483350151,0.8536831483350151,Croatia,19.6,19.4387031,19.4387031,13.192314188920298
HTI,970,0.5731958762886598,0.2804123711340206,Haiti,14.7,22.6,16.6,12.866102756743713
HUN,991,0.6125126135216953,0.6125126135216953,Hungary,61.6,48.78823935923999,48.78823935923999,37.72532039642509
IND,986,0.6470588235294118,0.6470588235294118,India,2975.6,4288.6,4288.6,3177.7632161367737
IRL,983,0.23499491353001017,0.23499491353001017,Ireland,63.8,59.83742284146999,59.83742284146999,54.40717015887715
IRQ,983,0.335707019328586,0.335707019328586,Iraq,345.6,453.2,453.2,372.7309694695477
ISL,966,0.9803312629399586,0.9803312629399586,Iceland,10.6,19.4,19.4,6.675900030435586
ISR,987,0.0,0.0,Israel,78.6,53.8,53.8,75.39048499481984
ITA,990,0.22727272727272727,0.22727272727272727,Italy,335.0,299.26744491,299.26744491,274.41709055461536
JAM,991,0.18768920282542886,0.14934409687184663,Jamaica,5.6,5.4,5.2,4.96969282459174
JOR,980,0.4459183673469388,0.0673469387755102,Jordan,29.1,37.0,26.9,28.63632719399163
JPN,991,0.1503531786074672,0.1503531786074672,Japan,1092.1,784.4,784.4,766.7164471320871
KEN,989,0.17391304347826086,0.17391304347826086,Kenya,149.0,177.2,177.2,170.93500952672426
KGZ,989,0.11324570273003033,0.0020222446916076846,Kyrgyzstan,10.0,9.7,6.5,9.700303328645212
KHM,961,0.9604578563995838,0.2695109261186264,Cambodia,77.5,153.2,90.0,77.3077580882849
LBN,966,0.937888198757764,0.8778467908902692,Lebanon,25.7,30.4,26.6,10.070628066924268
LBY,983,0.12817904374364192,0.12817904374364192,Libya,64.4,47.8,47.8,46.294527977735584
LSO,995,0.8381909547738694,0.30251256281407035,Lesotho,10.0,15.9,11.5,9.866426294805812
LTU,969,0.1021671826625387,0.1021671826625387,Lithuania,18.8,8.75714112,8.75714112,8.855339378530898
LUX,983,0.5116988809766022,0.5116988809766022,Luxembourg,8.4,7.85072757337,7.85072757337,5.923731409116484
LVA,993,0.11379657603222558,0.11379657603222558,Latvia,11.3,13.16353897,13.16353897,13.102255764404077
MAR,985,0.7888324873096447,0.0010152284263959391,Morocco,102.3,137.5,91.7,110.31400448311241
