future_id,iso_alpha_3,2022,2030,vulnerability_threshold,vulnerability_indicator,ndc_unconditional
id_JPN_1,JPN,1156.9285210437156,1093.9490345746651,1087.8404723653855,1,760.3
id_JPN_10,JPN,1156.9285210437156,1158.5553386368756,1087.8404723653855,1,760.3
id_JPN_100,JPN,1156.9285210437156,981.0856172696848,1087.8404723653855,0,760.3
id_JPN_1000,JPN,1156.9285210437156,983.5912335577376,1087.8404723653855,0,760.3
id_JPN_101,JPN,1156.9285210437156,1199.4370148076096,1087.8404723653855,1,760.3
id_JPN_102,JPN,1156.9285210437156,941.8169411306976,1087.8404723653855,0,760.3
id_JPN_103,JPN,1156.9285210437156,1027.379180993301,1087.8404723653855,0,760.3
id_JPN_104,JPN,1156.9285210437156,1083.379604686338,1087.8404723653855,0,760.3
id_JPN_105,JPN,1156.9285210437156,1145.0203142067385,1087.8404723653855,1,760.3
id_JPN_106,JPN,1156.9285210437156,1089.387162742904,1087.8404723653855,1,760.3
id_JPN_107,JPN,1156.9285210437156,1173.7196947845398,1087.8404723653855,1,760.3
id_JPN_108,JPN,1156.9285210437156,1028.6624118080738,1087.8404723653855,0,760.3
id_JPN_109,JPN,1156.9285210437156,1059.167005362699,1087.8404723653855,0,760.3
id_JPN_11,JPN,1156.9285210437156,1155.3775164144663,1087.8404723653855,1,760.3
id_JPN_110,JPN,1156.9285210437156,962.4719413983267,1087.8404723653855,0,760.3
id_JPN_111,JPN,1156.9285210437156,1048.5903491037334,1087.8404723653855,0,760.3
id_JPN_112,JPN,1156.9285210437156,1087.946853760871,1087.8404723653855,1,760.3
id_JPN_113,JPN,1156.9285210437156,1087.646224803025,1087.8404723653855,0,760.3
id_JPN_114,JPN,1156.9285210437156,1104.3000003167606,1087.8404723653855,1,760.3
id_JPN_115,JPN,1156.9285210437156,1047.0839279802674,1087.8404723653855,0,760.3
id_JPN_116,JPN,1156.9285210437156,1192.4710296149976,1087.8404723653855,1,760.3
id_JPN_117,JPN,1156.9285210437156,1170.8717969939264,1087.8404723653855,1,760.3
id_JPN_118,JPN,1156.9285210437156,1026.7469353325755,1087.8404723653855,0,760.3
id_JPN_119,JPN,1156.9285210437156,976.6034452627226,1087.8404723653855,0,760.3
id_JPN_12,JPN,1156.9285210437156,1092.691840657771,1087.8404723653855,1,760.3
id_JPN_120,JPN,1156.9285210437156,1096.3965013773716,1087.8404723653855,1,760.3
id_JPN_121,JPN,1156.9285210437156,1054.9435411665652,1087.8404723653855,0,760.3
id_JPN_122,JPN,1156.9285210437156,1177.49848548751,1087.8404723653855,1,760.3
id_JPN_123,JPN,1156.9285210437156,1082.62488179405,1087.8404723653855,0,760.3
id_JPN_124,JPN,1156.9285210437156,1082.0803656582325,1087.8404723653855,0,760.3
id_JPN_125,JPN,1156.9285210437156,1129.377268163717,1087.8404723653855,1,760.3
id_JPN_126,JPN,1156.9285210437156,1106.6445054499934,1087.8404723653855,1,760.3
id_JPN_127,JPN,1156.9285210437156,1199.081665093326,1087.8404723653855,1,760.3
id_JPN_128,JPN,1156.9285210437156,1097.4416251282992,1087.8404723653855,1,760.3
id_JPN_129,JPN,1156.9285210437156,1240.8759158905073,1087.8404723653855,1,760.3
id_JPN_13,JPN,1156.9285210437156,1119.665204092527,1087.8404723653855,1,760.3
id_JPN_130,JPN,1156.9285210437156,1250.520612949544,1087.8404723653855,1,760.3
id_JPN_131,JPN,1156.9285210437156,1122.097857740312,1087.8404723653855,1,760.3
id_JPN_132,JPN,1156.9285210437156,1096.9170942542412,1087.8404723653855,1,760.3
id_JPN_133,JPN,1156.9285210437156,981.9107911451632,1087.8404723653855,0,760.3
id_JPN_134,JPN,1156.9285210437156,1226.5814270452556,1087.8404723653855,1,760.3
id_JPN_135,JPN,1156.9285210437156,1129.2382484678767,1087.8404723653855,1,760.3
id_JPN_136,JPN,1156.9285210437156,1215.4179759310848,1087.8404723653855,1,760.3
id_JPN_137,JPN,1156.9285210437156,1227.959466187168,1087.8404723653855,1,760.3
id_JPN_138,JPN,1156.9285210437156,1100.433974375826,1087.8404723653855,1,760.3
id_JPN_139,JPN,1156.9285210437156,1227.851129755512,1087.8404723653855,1,760.3
id_JPN_14,JPN,1156.9285210437156,1127.6165005252396,1087.8404723653855,1,760.3
id_JPN_140,JPN,1156.9285210437156,1089.337945895706,1087.8404723653855,1,760.3
id_JPN_141,JPN,1156.9285210437156,1062.900582170595,1087.8404723653855,0,760.3
id_JPN_142,JPN,1156.9285210437156,1114.6476903323392,1087.8404723653855,1,760.3
id_JPN_143,JPN,1156.9285210437156,1164.0274582261288,1087.8404723653855,1,760.3
id_JPN_144,JPN,1156.9285210437156,983.209845989806,1087.8404723653855,0,760.3
id_JPN_145,JPN,1156.9285210437156,939.2609212202348,1087.8404723653855,0,760.3
id_JPN_146,JPN,1156.9285210437156,1033.5219657588448,1087.8404723653855,0,760.3
id_JPN_147,JPN,1156.9285210437156,1218.6229144691445,1087.8404723653855,1,760.3
id_JPN_148,JPN,1156.9285210437156,1214.1194968320117,1087.8404723653855,1,760.3
id_JPN_149,JPN,1156.9285210437156,1167.5125748669757,1087.8404723653855,1,760.3
id_JPN_15,JPN,1156.9285210437156,1078.5418572197043,1087.8404723653855,0,760.3
id_JPN_150,JPN,1156.9285210437156,1171.918132996503,1087.8404723653855,1,760.3
id_JPN_151,JPN,1156.9285210437156,1036.6209542938254,1087.8404723653855,0,760.3
id_JPN_152,JPN,1156.9285210437156,1189.3542137197064,1087.8404723653855,1,760.3
id_JPN_153,JPN,1156.9285210437156,1151.0006929193073,1087.8404723653855,1,760.3
id_JPN_154,JPN,1156.9285210437156,1241.8473577119028,1087.8404723653855,1,760.3
id_JPN_155,JPN,1156.9285210437156,1065.8623445474436,1087.8404723653855,0,760.3
id_JPN_156,JPN,1156.9285210437156,1141.808033516711,1087.8404723653855,1,760.3
id_JPN_157,JPN,1156.9285210437156,1104.873599167864,1087.8404723653855,1,760.3
id_JPN_158,JPN,1156.9285210437156,924.6570664463784,1087.8404723653855,0,760.3
id_JPN_159,JPN,1156.9285210437156,1170.880554632426,1087.8404723653855,1,760.3
id_JPN_16,JPN,1156.9285210437156,1250.866954124759,1087.8404723653855,1,760.3
id_JPN_160,JPN,1156.9285210437156,1069.7954281895952,1087.8404723653855,0,760.3
id_JPN_161,JPN,1156.9285210437156,1167.0537990686717,1087.8404723653855,1,760.3
id_JPN_162,JPN,1156.9285210437156,1062.477261964619,1087.8404723653855,0,760.3
id_JPN_163,JPN,1156.9285210437156,1091.30900188417,1087.8404723653855,1,760.3
id_JPN_164,JPN,1156.9285210437156,948.7289169227378,1087.8404723653855,0,760.3
id_JPN_165,JPN,1156.9285210437156,1220.8097366246802,1087.8404723653855,1,760.3
id_JPN_166,JPN,1156.9285210437156,1116.630313274421,1087.8404723653855,1,760.3
id_JPN_167,JPN,1156.9285210437156,1018.5310453612524,1087.8404723653855,0,760.3
id_JPN_168,JPN,1156.9285210437156,1080.967865555205,1087.8404723653855,0,760.3
id_JPN_169,JPN,1156.9285210437156,1152.5915403555168,1087.8404723653855,1,760.3
id_JPN_17,JPN,1156.9285210437156,1060.341440224846,1087.8404723653855,0,760.3
id_JPN_170,JPN,1156.9285210437156,1080.7090924844258,1087.8404723653855,0,760.3
id_JPN_171,JPN,1156.9285210437156,997.0994925162834,1087.8404723653855,0,760.3
id_JPN_172,JPN,1156.9285210437156,994.4410583661336,1087.8404723653855,0,760.3
id_JPN_173,JPN,1156.9285210437156,1058.3815389478125,1087.8404723653855,0,760.3
id_JPN_174,JPN,1156.9285210437156,1028.0746091416663,1087.8404723653855,0,760.3
id_JPN_175,JPN,1156.9285210437156,1149.228670982502,1087.8404723653855,1,760.3
id_JPN_176,JPN,1156.9285210437156,1019.6484282299492,1087.8404723653855,0,760.3
id_JPN_177,JPN,1156.9285210437156,1144.3041515832629,1087.8404723653855,1,760.3
id_JPN_178,JPN,1156.9285210437156,1075.3177836402808,1087.8404723653855,0,760.3
id_JPN_179,JPN,1156.9285210437156,1019.6341525336416,1087.8404723653855,0,760.3
id_JPN_18,JPN,1156.9285210437156,1053.7263077820105,1087.8404723653855,0,760.3
id_JPN_180,JPN,1156.9285210437156,1129.754167311524,1087.8404723653855,1,760.3
id_JPN_181,JPN,1156.9285210437156,1237.3096033689783,1087.8404723653855,1,760.3
id_JPN_182,JPN,1156.9285210437156,1179.026540711949,1087.8404723653855,1,760.3
id_JPN_183,JPN,1156.9285210437156,1085.906090349445,1087.8404723653855,0,760.3
id_JPN_184,JPN,1156.9285210437156,1070.5317047332503,1087.8404723653855,0,760.3
id_JPN_185,JPN,1156.9285210437156,955.0137340315114,1087.8404723653855,0,760.3
id_JPN_186,JPN,1156.9285210437156,1082.03598356128,1087.8404723653855,0,760.3
id_JPN_187,JPN,1156.9285210437156,1025.2827214515212,1087.8404723653855,0,760.3
id_JPN_188,JPN,1156.9285210437156,1079.1648778173897,1087.8404723653855,0,760.3
id_JPN_189,JPN,1156.9285210437156,988.5677847471794,1087.8404723653855,0,760.3
id_JPN_19,JPN,1156.9285210437156,1165.3860031283737,1087.8404723653855,1,760.3
id_JPN_190,JPN,1156.9285210437156,1062.294845828369,1087.8404723653855,0,760.3
id_JPN_191,JPN,1156.9285210437156,1163.926497687542,1087.8404723653855,1,760.3
id_JPN_192,JPN,1156.9285210437156,1062.8930510674795,1087.8404723653855,0,760.3
id_JPN_193,JPN,1156.9285210437156,1229.9988385786771,1087.8404723653855,1,760.3
id_JPN_194,JPN,1156.9285210437156,1102.6518033790624,1087.8404723653855,1,760.3
id_JPN_195,JPN,1156.9285210437156,1002.4059105402446,1087.8404723653855,0,760.3
id_JPN_196,JPN,1156.9285210437156,1029.5261463454838,1087.8404723653855,0,760.3
id_JPN_197,JPN,1156.9285210437156,1088.0359558752411,1087.8404723653855,1,760.3
id_JPN_198,JPN,1156.9285210437156,1106.078227302507,1087.8404723653855,1,760.3
id_JPN_199,JPN,1156.9285210437156,1185.6699938090412,1087.8404723653855,1,760.3
id_JPN_2,JPN,1156.9285210437156,1030.6999707399546,1087.8404723653855,0,760.3
id_JPN_20,JPN,1156.9285210437156,1142.96418508387,1087.8404723653855,1,760.3
